sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,895251.418711333,8540.701808126,8540.701808751,895251.485654791,0.0669428330475057,-886710.7503746236
1,895251.487506333,8540.711689284,8540.711689659,895251.496892333,0.009385624991409713,-886710.7805098615
2,895251.498711791,8540.724356166,8540.724356416,895251.509089333,0.010377291999247973,-886710.7795442711
3,895251.510688916,8540.734910568,8540.734910942,895251.517760166,0.007070876003126614,-886710.779313786
4,895251.5196805,8540.743881984,8540.743882359,895251.527294916,0.007614040954649681,-886710.7796055365
5,895251.528908333,8540.753552894,8540.753553144,895251.537039833,0.008131249984216993,-886710.7794210641
6,895251.53861625,8540.765311409,8540.765311784,895251.54789675,0.009280125002987916,-886710.7779449036
7,895251.5500625,8540.775290316,8540.775290691,895251.558130583,0.008067707971349591,-886710.7788060381
8,895251.559813583,8540.784261108,8540.784261358,895251.573104291,0.013290457953189616,-886710.7821977041
9,895251.574703041,8540.798664474,8540.798664724,895251.582029625,0.007326333960008924,-886710.779701734
10,895251.583588625,8540.807970887,8540.807971137,895251.591218458,0.007629583067682688,-886710.7794325295
11,895251.592648,8540.818290166,8540.818290416,895251.601089333,0.00844108296041668,-886710.7785783755
12,895251.602693041,8540.828418322,8540.828418572,895251.61815,0.015456709023055737,-886710.7820030735
13,895251.619758666,8540.844440297,8540.844440672,895251.628019875,0.008260834005341167,-886710.779448786
14,895251.62964225,8540.85597544,8540.85597569,895251.643110083,0.013467582934026723,-886710.7804006014
15,895251.644831791,8540.868938819,8540.868939069,895251.653510083,0.008678041924213176,-886710.780231993
16,895251.655136375,8540.882159446,8540.882159696,895251.666945958,0.011809333054770832,-886710.7788815955
17,895251.668364,8540.893393217,8540.893393592,895251.682132875,0.013768499924481148,-886710.781855033
18,895251.683369333,8540.909387943,8540.909388318,895251.69343,0.010060291944682831,-886710.779011536
19,895251.695070208,8540.91990672,8540.91990697,895251.79150825,0.09643779200450808,-886710.823382384
20,895251.793253666,8541.314780167,8541.314780417,895252.110216,0.31696208397806913,-886710.6369545411
21,895252.112356208,8541.340691676,8541.340692051,895252.124618166,0.012261582976861973,-886710.7777953235
22,895252.126274666,8541.353539556,8541.353539806,895252.138400875,0.012125958981414442,-886710.7787980896
23,895252.140851833,8541.365956065,8541.36595644,895252.14843525,0.0075830419973499374,-886710.778687289
24,895252.15018525,8541.379545189,8541.379545439,895252.163592708,0.013407207969066803,-886710.777343665
25,895252.165029125,8541.39019184,8541.39019209,895252.172727041,0.007697665891100769,-886710.7786861181
26,895252.174408541,8541.410269778,8541.410270153,895252.195022,0.02061308405609452,-886710.774445305
27,895252.196645666,8541.423087908,8541.423088283,895252.211150208,0.014504166992992396,-886710.7808098416
28,895252.212343583,8541.437492524,8541.437492899,895252.220181791,0.007837832996301586,-886710.7787699755
29,895252.221763541,8541.446286567,8541.446286942,895252.315957125,0.09419320905180939,-886710.8225735785
30,895252.317637083,8541.621879182,8541.621879432,895252.407770041,0.09013270802279294,-886710.740824255
31,895252.409219583,8541.634366941,8541.634367191,895252.418472083,0.009252250021745567,-886710.779478767
32,895252.420046416,8541.64681845,8541.6468187,895252.431534708,0.01148804201875464,-886710.7789719871
33,895252.433615083,8541.658319092,8541.658319342,895252.440722458,0.007107124956746702,-886710.7788495535
34,895252.44234025,8541.669581988,8541.669582238,895252.453804291,0.011463790959169273,-886710.7784901576
35,895252.455651708,8541.679983641,8541.679983891,895252.463332833,0.0076808750764030265,-886710.7795085046
36,895252.46538325,8541.69029867,8541.69029892,895252.47628775,0.010904249911618535,-886710.7805367049
37,895252.477764791,8541.702269808,8541.702270058,895252.484831958,0.007066916967232828,-886710.7790284415
38,895252.486397916,8541.71016511,8541.710165485,895252.492981916,0.006583624959603185,-886710.7795246185
39,895252.494631458,8541.71926665,8541.7192669,895252.501744875,0.007113167028364842,-886710.7789213915
40,895252.503304916,8541.728299191,8541.728299441,895252.517168375,0.013863208996554022,-886710.7819373294
41,895252.519394958,8541.745202533,8541.745202908,895252.529107625,0.00971229197239154,-886710.7790485711
42,895252.530481958,8541.757289671,8541.757289921,895252.540074708,0.009592500109647517,-886710.777988537
43,895252.541665458,8541.766291712,8541.766292087,895252.549875708,0.008209874942622264,-886710.7794786835
44,895252.551627375,8541.777308859,8541.777309234,895252.559946541,0.00831879102406674,-886710.7784779114
45,895252.561578666,8541.787285516,8541.787285766,895252.569978458,0.008399542015467887,-886710.778492921
46,895252.571696041,8541.795919811,8541.795920061,895252.579236041,0.007539750020441716,-886710.7795461051
47,895252.580691125,8541.804987976,8541.804988226,895252.587974791,0.007283415938218241,-886710.779344857
48,895252.5891085,8541.813564397,8541.813564772,895252.596974083,0.007865207942813868,-886710.779476707
49,895252.598567041,8541.82290081,8541.82290106,895252.606324833,0.00775754201640666,-886710.7795450019
50,895252.607792625,8541.839256282,8541.839256532,895252.621981666,0.014188790988555411,-886710.7756307385
51,895252.623673666,8541.84755708,8541.847557455,895252.630829125,0.007155083909310633,-886710.7796941281
52,895252.631988666,8541.856261374,8541.856261624,895252.640111125,0.00812220893749327,-886710.7797883966
53,895252.641794541,8541.8668764,8541.866876775,895252.650137166,0.008342249990164419,-886710.779089266
54,895252.651716208,8541.878563041,8541.878563416,895252.660744458,0.009027875003084773,-886710.7776671045
55,895252.662298541,8541.88726346,8541.88726371,895252.669751541,0.0074527499400574015,-886710.778761456
56,895252.671313375,8541.895562758,8541.895563133,895252.678803708,0.007489958052246948,-886710.7794955961
57,895252.680392208,8541.905752538,8541.905752788,895252.688880916,0.008488457942803507,-886710.7788838991
58,895252.690459416,8541.915274324,8541.915274699,895252.698758166,0.008298375034428318,-886710.7793342795
59,895252.700325916,8541.929339818,8541.929340193,895252.7125145,0.012188208960651536,-886710.7770802025
60,895252.713996,8541.939845845,8541.939846095,895252.729141166,0.01514491596208245,-886710.7817226129
61,895252.731134791,8541.956263318,8541.956263693,895252.739127041,0.007991874912477215,-886710.7788674105
62,895252.740838375,8541.966245225,8541.966245475,895252.839531583,0.09869295807038725,-886710.8239396289
63,895252.8412275,8542.237783821,8542.237784196,895253.027840166,0.18661229100143828,-886710.6967498246
64,895253.029500708,8542.254301167,8542.254301417,895253.040717375,0.011216417015020852,-886710.7808077495
65,895253.042355083,8542.268334161,8542.268334536,895253.05205275,0.009697291974589461,-886710.778869568
66,895253.053788583,8542.278289068,8542.278289318,895253.061170833,0.007381999925200944,-886710.7791905149
67,895253.062778791,8542.286921113,8542.286921363,895253.07805725,0.015278209060852532,-886710.7834967824
68,895253.079440958,8542.304136078,8542.304136328,895253.086943,0.007501791989852791,-886710.779055776
69,895253.088725416,8542.313293492,8542.313293742,895253.096107,0.007381334029560094,-886710.779122591
70,895253.097408916,8542.322299408,8542.322299658,895253.105037541,0.00762837502588809,-886710.7789236954
71,895253.107482958,8542.332703937,8542.332704187,895253.116001333,0.00851812499058724,-886710.7790380835
72,895253.117401041,8542.342466596,8542.342466846,895253.131282916,0.013881624969144468,-886710.7818752574
73,895253.132979666,8542.357992951,8542.357993201,895253.140888208,0.007908292058345978,-886710.7789408611
74,895253.142514833,8542.367949358,8542.367949608,895253.151537416,0.009022333020766382,-886710.7790766415
75,895253.153222458,8542.378290262,8542.378290512,895253.168829583,0.01560687500932545,-886710.7827356334
76,895253.170831958,8542.394981107,8542.394981357,895253.177680208,0.00684800005001307,-886710.779274851
77,895253.179456708,8542.403591026,8542.403591276,895253.18639975,0.006942791926121572,-886710.779337078
78,895253.187971666,8542.411888949,8542.411889324,895253.194516541,0.006544499981828267,-886710.779354967
79,895253.195891541,8542.420222621,8542.420222996,895253.202806416,0.00691450000522309,-886710.77912617
80,895253.204386916,8542.428616793,8542.428617043,895253.211892541,0.00750537502062798,-886710.7795228106
81,895253.213302083,8542.436885591,8542.436885841,895253.220242166,0.006939832996067707,-886710.7798864085
82,895253.22184875,8542.448199361,8542.448199736,895253.237111166,0.015262040982634062,-886710.7812804095
83,895253.23871325,8542.463924589,8542.463924839,895253.247130583,0.008417083010499482,-886710.7789972025
84,895253.24849025,8542.473600499,8542.473600874,895253.25780875,0.00931812505950802,-886710.7795488136
85,895253.259429541,8542.483607531,8542.483607906,895253.267015625,0.0075857090723729925,-886710.7796148645
86,895253.268227208,8542.493619688,8542.493619938,895253.364189375,0.09596191690252454,-886710.8225884784
87,895253.365985291,8542.855850439,8542.855850939,895253.644383041,0.27839724999284954,-886710.6493334769
88,895253.645815125,8542.871090547,8542.871091172,895253.653917041,0.0081012910559366,-886710.7787752235
89,895253.655510333,8542.880054714,8542.880055464,895253.663242083,0.007731000025160029,-886710.779321119
90,895253.664861125,8542.889820248,8542.889820998,895253.67303675,0.00817487499989511,-886710.7791283146
91,895253.674628291,8542.902882001,8542.902882501,895253.689766958,0.015138166962060495,-886710.7793153735
92,895253.691371791,8542.923008439,8542.923008814,895253.707188041,0.015815875001862878,-886710.7762712894
93,895253.708907458,8542.932921471,8542.932921846,895253.716916583,0.00800875001186796,-886710.779990362
94,895253.7184995,8542.94329725,8542.9432975,895253.726084958,0.007585207991724019,-886710.778994854
95,895253.727691458,8542.951926044,8542.951926419,895253.739984416,0.012292583096495946,-886710.7819117055
96,895253.74185375,8542.967709522,8542.967709772,895253.750057083,0.008203083010812406,-886710.7782457694
97,895253.751668875,8542.975917446,8542.975917696,895253.759048958,0.007379832970400457,-886710.7794413455
98,895253.760380666,8542.985288109,8542.985288484,895253.770097333,0.009716292001030524,-886710.779950703
99,895253.771771291,8542.996733002,8542.996733377,895253.780368416,0.0085967499508115,-886710.779336664
