sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,895169.156715333,8458.706537537,8458.706538287,895169.495244875,0.3385287919718394,-886710.6194421919
1,895169.497248208,8458.721644146,8458.721644521,895169.505424583,0.008175999948434765,-886710.779692062
2,895169.50704825,8458.734539901,8458.734540526,895169.518160041,0.011111166011687601,-886710.778063932
3,895169.519724625,8458.743485067,8458.743485442,895169.526504,0.006778999902962823,-886710.779629058
4,895169.52808,8458.752389859,8458.752390109,895169.537178625,0.009098375043322449,-886710.7802393285
5,895169.539108625,8458.765042492,8458.765042867,895169.548671083,0.009562082910633762,-886710.7788471745
6,895169.550528,8458.774505029,8458.774505404,895169.560932916,0.010404541013485868,-886710.7812252415
7,895169.56250875,8458.786204545,8458.786204795,895169.570871416,0.008362416005184059,-886710.780485413
8,895169.572613458,8458.797500564,8458.797500814,895169.58063575,0.008022041934964363,-886710.779123915
9,895169.582573958,8458.808736085,8458.808736335,895169.597258166,0.014683957970191841,-886710.781179852
10,895169.598906833,8458.823507572,8458.823507822,895169.606484791,0.0075777080510306405,-886710.7791881149
11,895169.608193208,8458.835006965,8458.83500734,895169.619672833,0.011479250013508135,-886710.778925868
12,895169.621886375,8458.847556598,8458.847556973,895169.630805791,0.008919040996261174,-886710.7787892974
13,895169.63251425,8458.858517371,8458.858517621,895169.644937125,0.012422625035469537,-886710.7802081916
14,895169.646136333,8458.870198637,8458.870198887,895169.653353875,0.007217292035420542,-886710.7795463421
15,895169.654919833,8458.880393917,8458.880394167,895169.663095916,0.008175833094355767,-886710.7786138325
16,895169.664737291,8458.888574091,8458.888574466,895169.671136,0.0063983339077822166,-886710.779362367
17,895169.672866583,8458.897506508,8458.897506758,895169.680536875,0.007670042048630421,-886710.779195096
18,895169.681986375,8458.906341551,8458.906341801,895169.689867458,0.007880832945375005,-886710.7795852404
19,895169.691224458,8458.915515965,8458.915516215,895169.704814958,0.013590249991466408,-886710.782503618
20,895169.7066915,8458.932340184,8458.932340434,895169.715478541,0.008786790947851841,-886710.7787447115
21,895169.717031458,8458.943170833,8458.943171208,895169.726603916,0.009572082986778696,-886710.7786466666
22,895169.728280125,8458.952501121,8458.952501496,895169.736035958,0.007755458096653456,-886710.779656733
23,895169.737686375,8458.962515027,8458.962515277,895169.745510583,0.007823958005246823,-886710.779083327
24,895169.747128333,8458.973046304,8458.973046554,895169.756702041,0.009573458055456285,-886710.778868758
25,895169.758336583,8458.984575947,8458.984576322,895169.769826041,0.011489082917250926,-886710.7795051774
26,895169.771434916,8459.000975419,8459.000975794,895169.784562583,0.013127292013450642,-886710.7770231429
27,895169.786248708,8459.010616205,8459.010616455,895169.793702125,0.007453166939740186,-886710.7793590864
28,895169.795661791,8459.020165491,8459.020165741,895169.809236291,0.013574249986049836,-886710.782283425
29,895169.810508916,8459.040405302,8459.040405677,895169.825891458,0.015382166924609919,-886710.7777946976
30,895169.827717958,8459.052510939,8459.052511189,895169.836009833,0.008291625012134318,-886710.7793528315
31,895169.839109791,8459.065119697,8459.065119947,895169.84872275,0.00961270899460942,-886710.7787964485
32,895169.850581333,8459.074551359,8459.074551609,895169.857441041,0.006859457997052232,-886710.779459703
