...panel tft: C0F
...panel fpl: AAB0BV
Loading waveforms from: /usr/share/remarkable/GAL3_AAB0BV_ID3511_AC118TC1F2_AD1004-LHA_TC.eink
pmic: setting rails to 6.0, 12.0, 24.0, -6.0, -12.0, -24.0
pmic: setting PDD duration to 30000ms
temperature_hwmon: found temperature path: /sys/class/hwmon/hwmon8/temp1_input
update,direction,size,repetition,before_submit_us,after_submit_us,after_drain_us,accepted,drained
mono-fast-black,darken,64x64,0,8483760260,8483775817,8484137208,1,1
mono-fast-paper,lighten,64x64,0,8484637487,8484638361,8484984504,1,1
mono-fast-black,darken,64x64,1,8485484751,8485485300,8485831828,1,1
mono-fast-paper,lighten,64x64,1,8486332084,8486332538,8486679088,1,1
mono-fast-black,darken,256x256,0,8487180306,8487181907,8487526535,1,1
mono-fast-paper,lighten,256x256,0,8488027678,8488029773,8488373738,1,1
mono-fast-black,darken,256x256,1,8488874885,8488876535,8489220995,1,1
mono-fast-paper,lighten,256x256,1,8489722143,8489724273,8490068283,1,1
mono-fast-black,darken,512x512,0,8490572540,8490579848,8490927527,1,1
mono-fast-paper,lighten,512x512,0,8491431687,8491439099,8491788170,1,1
mono-fast-black,darken,512x512,1,8492292467,8492299828,8492645699,1,1
mono-fast-paper,lighten,512x512,1,8493149896,8493157334,8493504715,1,1
color3-black,darken,64x64,0,8494004978,8494006171,8494610664,1,1
color3-paper,lighten,64x64,0,8495110913,8495112116,8495716885,1,1
color3-black,darken,64x64,1,8496217117,8496217892,8496823204,1,1
color3-paper,lighten,64x64,1,8497323428,8497324443,8497929331,1,1
color3-black,darken,256x256,0,8498430487,8498435332,8499047302,1,1
color3-paper,lighten,256x256,0,8499548521,8499554098,8500165205,1,1
color3-black,darken,256x256,1,8500666353,8500670986,8501283290,1,1
color3-paper,lighten,256x256,1,8501784941,8501790627,8503060150,1,1
color3-black,darken,512x512,0,8503564484,8503579473,8504190020,1,1
color3-paper,lighten,512x512,0,8504694230,8504716280,8505980190,1,1
color3-black,darken,512x512,1,8506484491,8506499669,8507108477,1,1
color3-paper,lighten,512x512,1,8507612726,8507633055,8508897256,1,1
color-black,darken,64x64,0,8509397485,8509398384,8510664231,1,1
color-paper,lighten,64x64,0,8511164510,8511165428,8512427368,1,1
color-black,darken,64x64,1,8512927600,8512928417,8514227829,1,1
color-paper,lighten,64x64,1,8514728092,8514728952,8515993034,1,1
color-black,darken,256x256,0,8516494183,8516498479,8517770212,1,1
color-paper,lighten,256x256,0,8518271378,8518277537,8519547162,1,1
color-black,darken,256x256,1,8520048373,8520052825,8521328129,1,1
color-paper,lighten,256x256,1,8521829324,8521834538,8523100927,1,1
color-black,darken,512x512,0,8523605159,8523620203,8524889786,1,1
color-paper,lighten,512x512,0,8525393996,8525412989,8526678431,1,1
color-black,darken,512x512,1,8527182616,8527197961,8528467162,1,1
color-paper,lighten,512x512,1,8528971378,8528990416,8530255912,1,1
shutdown: waiting for updates to complete...
shutdown: waiting for display to finish...
shutdown: threads stopped
shutdown: shutting down...
