family,target,size,sample_count,median_software_submit_ms,median_queue_wait_ms,median_queue_total_ms,median_visible_onset_ms,median_first_90_ms,median_settled_ms,median_visible_motion_ms,median_settled_minus_drain_ms,median_baseline_luma,median_final_luma,median_luma_amplitude
mono-fast,black,64,2,8.052988618146628,353.95899979630485,362.0119884144515,51.901858882047236,85.95239045098424,89.31900397874415,37.41714509669691,-272.69298443570733,62.423469387755105,28.816326530612244,-33.60714285714286
mono-fast,paper,64,2,0.6639990024268627,346.34601057041436,347.0100095728412,47.17708594398573,141.93212741520256,151.540222694166,104.36313675018027,-195.46978687867522,28.918367346938773,61.66326530612245,32.744897959183675
mono-fast,black,256,2,1.6254977090284228,344.54351296881214,346.16901067784056,36.50832851417363,70.79040491953492,76.20048330863938,39.69215479446575,-269.9685273692012,61.92857142857143,27.846938775510203,-34.08163265306122
mono-fast,paper,256,2,2.1124969935044646,343.98701385362074,346.0995108471252,42.05977346282452,133.37232905905694,145.88668092619628,103.82690746337175,-200.21282992092893,27.943877551020407,61.84693877551021,33.9030612244898
mono-fast,black,512,2,7.334489666391164,346.77450987510383,354.108999541495,40.76975071802735,75.57834015460685,87.79729582602158,47.02754510799423,-266.3117037154734,61.97959183673469,27.73979591836735,-34.23979591836734
mono-fast,paper,512,2,7.4249894823879,348.22550782701,355.6504973093979,50.24732509627938,141.9321611756459,154.49384221574292,104.24651711946353,-201.156655093655,27.663265306122447,61.86734693877551,34.20408163265306
color3,black,64,2,0.9839985868893564,604.9016450997442,605.8856436866336,31.527485232800245,60.83381955977529,67.70849507302046,36.18100984022021,-538.1771486136131,62.07142857142857,28.8265306122449,-33.24489795918367
color3,paper,64,2,1.1089984327554703,604.8276450601406,605.9366434928961,73.9753061789088,144.49595264159143,154.08705844311044,80.11175226420164,-451.8495850497857,28.775510204081634,61.66326530612245,32.88775510204081
color3,black,256,2,4.738993302453309,612.1361348195933,616.8751281220466,48.45624038716778,72.3883043974638,80.82560007460415,32.36935968743637,-536.0495280474424,62.173469387755105,27.755102040816325,-34.41836734693878
color3,paper,256,2,5.631492065731436,940.3136709006503,945.9451629663818,231.9473010720685,330.0737783429213,337.4995140475221,105.55221297545359,-608.4456489188597,27.877551020408163,60.734693877551024,32.857142857142854
color3,black,512,2,15.08347870549187,609.6766383270733,624.7601170325652,49.9590533436276,84.13449965883046,95.73250659741461,45.77345325378701,-529.0276104351506,60.12244897959184,27.57142857142857,-32.55102040816327
color3,paper,512,2,21.189470018725842,1264.0537134138867,1285.2431834326126,366.8458011816256,536.500642541796,542.2269356204197,175.3811344387941,-743.0162478121929,27.663265306122447,59.90816326530612,32.244897959183675
color,black,64,2,0.8579988498240709,1282.6276870910078,1283.485685940832,659.7053437726572,769.1728949430399,783.1361821154132,123.43083834275603,-500.34950382541865,60.01020408163265,28.357142857142858,-31.653061224489797
color,paper,64,2,0.8889987366273999,1263.0092148901895,1263.8982136268169,485.20410619676113,627.2591956076212,641.3802031893283,156.17609699256718,-622.5180104374886,28.474489795918366,59.88775510204081,31.41326530612245
color,black,256,2,4.373993840999901,1273.5167000209913,1277.8906938619912,679.2611956479959,762.7409431152046,775.3440627711825,96.08286712318659,-502.54663109080866,60.35714285714286,27.60204081632653,-32.755102040816325
color,paper,256,2,5.686491960659623,1268.0052078212611,1273.6916997819208,493.27762523898855,638.1320297368802,645.773577329237,152.49595209024847,-627.9181224526837,27.612244897959187,59.93877551020408,32.326530612244895
color,black,512,2,15.1944785611704,1269.3902058526874,1284.5846844138578,703.9403261733241,770.6224458524957,777.2112965467386,73.27097037341446,-507.37338786711916,60.03061224489795,27.54081632653061,-32.48979591836734
color,paper,512,2,19.015473080798984,1265.4672114294954,1284.4826845102943,502.7610259130597,653.8438660209067,663.8976581161842,161.13663220312446,-620.5850263941102,27.57142857142857,60.1530612244898,32.58163265306122
