frame,presentation_seconds,host_seconds,width,height,center
0,885163.0156333334,885163.045987958,1920,1080,41.81
1,885163.0326333334,885163.066624375,1920,1080,41.7075
2,885163.0496333333,885163.078392833,1920,1080,41.735
3,885163.0656333333,885163.099072083,1920,1080,41.695
4,885163.0826333333,885163.111434833,1920,1080,41.535
5,885163.0996333334,885163.129353166,1920,1080,41.7
6,885163.1166333334,885163.142944208,1920,1080,41.59
7,885163.1326333333,885163.1617215,1920,1080,41.5875
8,885163.1496666666,885163.177947916,1920,1080,41.59
9,885163.1666333333,885163.194372416,1920,1080,41.4675
10,885163.1826666667,885163.212113666,1920,1080,41.51
11,885163.1996333334,885163.224073708,1920,1080,41.53
12,885163.2156666666,885163.241732458,1920,1080,41.4275
13,885163.2326666666,885163.261241916,1920,1080,41.485
14,885163.2496666666,885163.271547875,1920,1080,41.4325
15,885163.2656333334,885163.288326708,1920,1080,41.455
16,885163.2826333334,885163.303851083,1920,1080,41.3925
17,885163.2996666667,885163.3204935,1920,1080,41.42
18,885163.3156666667,885163.336458958,1920,1080,41.4625
19,885163.3326333333,885163.352765708,1920,1080,41.43
20,885163.3486333333,885163.369597,1920,1080,41.4375
21,885163.3656333333,885163.40137925,1920,1080,41.3575
22,885163.3826333333,885163.416158666,1920,1080,41.225
23,885163.3986333334,885163.433741666,1920,1080,41.315
24,885163.4156333334,885163.447973416,1920,1080,41.265
25,885163.4326333334,885163.464747333,1920,1080,41.2375
26,885163.4486333333,885163.486967208,1920,1080,41.3225
27,885163.4656333333,885163.500815083,1920,1080,41.315
28,885163.4816333334,885163.513225291,1920,1080,41.2825
29,885163.4986333334,885163.528530458,1920,1080,41.23
30,885163.5156333334,885163.542771708,1920,1080,41.305
31,885163.5326333334,885163.5597055,1920,1080,41.295
32,885163.5486333333,885163.578675958,1920,1080,41.2975
33,885163.5656333333,885163.591348458,1920,1080,41.3175
34,885163.5826333333,885163.608076625,1920,1080,41.315
35,885163.5986333333,885163.624939416,1920,1080,41.4375
36,885163.6156333333,885163.640289708,1920,1080,42.7175
37,885163.6326333333,885163.655012375,1920,1080,64.4175
38,885163.6486333334,885163.675602375,1920,1080,73.6525
39,885163.6656333334,885163.692967125,1920,1080,79.0575
40,885163.6816333333,885163.705601,1920,1080,84.275
41,885163.6986333333,885163.722736458,1920,1080,87.1175
42,885163.7156333333,885163.733963416,1920,1080,88.91
43,885163.7316333334,885163.750074,1920,1080,90.5375
44,885163.7486333334,885163.771956,1920,1080,92.2075
45,885163.7656333334,885163.789395541,1920,1080,93.385
46,885163.7816333333,885163.815727041,1920,1080,94.4425
47,885163.7986333333,885163.831488041,1920,1080,95.64
48,885163.8146333334,885163.855290541,1920,1080,96.3325
49,885163.8316333333,885163.862287916,1920,1080,97.5275
50,885163.8486333333,885163.883466583,1920,1080,97.9325
51,885163.8646333333,885163.895311375,1920,1080,98.575
52,885163.8816333333,885163.912125833,1920,1080,99.2025
53,885163.8986333334,885163.9265135,1920,1080,99.37
54,885163.9146333333,885163.944691875,1920,1080,99.57
55,885163.9316333333,885163.959662583,1920,1080,100.0575
56,885163.9476333334,885163.978367875,1920,1080,100.4775
57,885163.9646333334,885163.990819916,1920,1080,100.5725
58,885163.9826333333,885164.008088833,1920,1080,100.81
59,885163.9986333334,885164.022966458,1920,1080,100.865
60,885164.0156333334,885164.040721875,1920,1080,101.205
61,885164.0326333334,885164.055173333,1920,1080,101.42
62,885164.0486333333,885164.076892083,1920,1080,101.6175
63,885164.0656666667,885164.087697333,1920,1080,101.7375
64,885164.0816333333,885164.105371625,1920,1080,102.0175
65,885164.0986333333,885164.123945416,1920,1080,102.0875
66,885164.1156333333,885164.136228291,1920,1080,102.2125
67,885164.1316333333,885164.150880041,1920,1080,102.4175
68,885164.1486333334,885164.170395625,1920,1080,102.4125
69,885164.1656333334,885164.1837735,1920,1080,102.57
70,885164.1826333334,885164.215023541,1920,1080,102.65
71,885164.1986333333,885164.2313875,1920,1080,102.74
72,885164.2156333333,885164.253105875,1920,1080,102.73
73,885164.2326333333,885164.263822416,1920,1080,102.8425
74,885164.2496333333,885164.284025458,1920,1080,102.8775
75,885164.2656333334,885164.296998541,1920,1080,102.9075
76,885164.2826333334,885164.310859916,1920,1080,103.0325
77,885164.2996333333,885164.328473625,1920,1080,103.0125
78,885164.3156333333,885164.344580333,1920,1080,103.095
79,885164.3326333333,885164.361358666,1920,1080,103.1575
80,885164.3486333333,885164.379223,1920,1080,103.2025
81,885164.3656333333,885164.392074583,1920,1080,103.18
82,885164.3826333333,885164.409485041,1920,1080,103.305
83,885164.3986333334,885164.42309575,1920,1080,103.2625
84,885164.4156333334,885164.440863208,1920,1080,103.1825
85,885164.4326333334,885164.454837791,1920,1080,103.3225
86,885164.4486333333,885164.471736583,1920,1080,103.3475
