sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,885236.853263458,1076.130198126,1076.130199001,885236.949001791,0.09573745795159994,-884160.7709340609
1,885236.950871458,1076.144730192,1076.144730692,885236.959499791,0.008627832987485817,-884160.8104551826
2,885236.960882375,1076.154799439,1076.154799814,885236.969375958,0.008493207951005388,-884160.8103295399
3,885236.970751541,1076.164290068,1076.164290443,885236.97836175,0.007609834053255327,-884160.81026639
4,885236.979612125,1076.173253204,1076.173253579,885236.988032625,0.00842012508951484,-884160.8105689836
5,885236.990505791,1076.183965193,1076.183965568,885236.998397041,0.007890874959230132,-884160.8104860355
6,885236.999848166,1076.195650795,1076.195651295,885237.0107315,0.01088283397621126,-884160.809638788
7,885237.0121,1076.205689792,1076.205690167,885237.023839375,0.011738999953195162,-884160.812279708
8,885237.025461,1076.217929012,1076.217929512,885237.032349791,0.006888290987490109,-884160.8109761334
9,885237.033653833,1076.226927273,1076.226927648,885237.044064291,0.01041008308243363,-884160.8119316015
10,885237.045384416,1076.238497876,1076.238498251,885237.05419675,0.008811959039348949,-884160.8112925196
11,885237.055773208,1076.248402,1076.248402375,885237.061966458,0.006192874951921112,-884160.8104676455
12,885237.064407,1076.259382485,1076.259382985,885237.072778083,0.00837058306592553,-884160.8092098066
13,885237.0739095,1076.267372634,1076.267373009,885237.081163958,0.007254082916006155,-884160.8101639075
14,885237.082554583,1076.275286283,1076.275286658,885237.089223791,0.006668833058256496,-884160.8106027165
15,885237.090617166,1076.286786887,1076.286787637,885237.101151208,0.010533292026821073,-884160.809096925
16,885237.1025535,1076.296118519,1076.296118894,885237.122784625,0.020230750061273284,-884160.816550356
17,885237.124123416,1076.32276643,1076.32276693,885237.150552875,0.026428958987025908,-884160.8145714656
18,885237.151885541,1076.345473892,1076.345474392,885237.246810083,0.09492404200523197,-884160.8538736701
19,885237.248216208,1076.746691296,1076.746691796,885237.625498916,0.3772822080684364,-884160.690166016
20,885237.627154583,1077.051853919,1077.051854419,885237.869715,0.24255991704217195,-884160.6965806225
21,885237.871120333,1077.064531883,1077.064532383,885237.880099208,0.008978375004744521,-884160.8110776375
22,885237.881549458,1077.075516494,1077.075516869,885237.895186791,0.013636957944299866,-884160.812851443
23,885237.896686166,1077.090376305,1077.09037718,885237.904608,0.007920959010789375,-884160.8102703404
24,885237.906925833,1077.100929796,1077.100930046,885237.915831708,0.008905625030820374,-884160.8104488495
25,885237.917263541,1077.112721271,1077.112721646,885237.929578041,0.012314124938029636,-884160.8106993325
26,885237.931006375,1077.125292487,1077.125292987,885237.939451375,0.008444500043196967,-884160.8099361381
27,885237.940898291,1077.134265623,1077.134265998,885237.949518791,0.008620125098786957,-884160.8109427304
28,885237.950648125,1077.143918,1077.14391825,885237.958901166,0.008252790956248646,-884160.8108565204
29,885237.96039175,1077.154824862,1077.154825237,885237.970821625,0.01042949999373377,-884160.8107816379
30,885237.972084583,1077.169298553,1077.169299053,885237.983636833,0.0115517500128135,-884160.808561905
31,885237.985012458,1077.178264814,1077.178265189,885237.992469875,0.007457041970155842,-884160.810476165
32,885237.993954333,1077.186860455,1077.18686083,885238.001245833,0.007291124991070319,-884160.8107394405
33,885238.002598083,1077.195802341,1077.195802841,885238.012403166,0.00980458304206877,-884160.8116980335
34,885238.013770208,1077.20691195,1077.20691245,885238.021513916,0.007743207974499455,-884160.810729862
35,885238.022795291,1077.219282418,1077.219282918,885238.034242916,0.01144712500172318,-884160.8092364355
36,885238.035633,1077.249252287,1077.249252787,885238.0679105,0.03227700002412348,-884160.802519213
37,885238.069373166,1077.263040112,1077.263040612,885238.079500791,0.010127125078952304,-884160.8113966165
38,885238.080905333,1077.274276094,1077.274276469,885238.088864708,0.007958999925222088,-884160.810608739
39,885238.093365208,1077.288287166,1077.288287541,885238.102574333,0.009208749953359074,-884160.809682417
40,885238.103946375,1077.297284177,1077.297284802,885238.111429875,0.00748287505598455,-884160.8104036355
