sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,885154.78737475,994.107455887,994.107456387,885154.936490333,0.1491150830445349,-884160.7544764045
1,885154.938125875,994.133693436,994.133693811,885154.948101625,0.009975374999385167,-884160.8094201265
2,885154.949792041,994.142749698,994.142750073,885154.956886583,0.007094167030231802,-884160.8105894264
3,885154.958226458,994.150605851,994.150606476,885154.965108541,0.00688145790377348,-884160.811061336
4,885154.966988208,994.159600114,994.159600364,885154.973948166,0.006959708002000298,-884160.810867948
5,885154.97540325,994.167838386,994.167838636,885154.982278541,0.00687504100096703,-884160.8110023844
6,885154.985404291,994.178608503,994.178608753,885154.993019125,0.007614584001203184,-884160.81060308
7,885154.994447666,994.187581891,994.187582016,885155.001856791,0.007408999984477305,-884160.810570275
8,885155.00381675,994.197201521,994.197201896,885155.011889083,0.00807195794470772,-884160.810651208
9,885155.013301708,994.208711378,994.208711503,885155.026650458,0.01334862495514244,-884160.8112646425
10,885155.028691666,994.221435595,994.221435845,885155.03606975,0.007377834003023054,-884160.8109449879
11,885155.037500291,994.230958352,994.230958602,885155.044917583,0.0074170419849224345,-884160.8102504599
12,885155.046253375,994.239185125,994.239185375,885155.053998,0.007744374977846746,-884160.8109404375
13,885155.055374458,994.249082877,994.249083127,885155.063986833,0.008612125007971372,-884160.8105976435
14,885155.065420666,994.257896267,994.257896517,885155.0719285,0.006507583953975882,-884160.810778191
15,885155.073669708,994.267083653,994.267083903,885155.081840458,0.00817049999216124,-884160.810671305
16,885155.083488041,994.279627122,994.279627247,885155.094050333,0.010562167067291739,-884160.8091420025
17,885155.095814791,994.289521249,994.289521499,885155.10413575,0.008320708935684706,-884160.8104538965
18,885155.105886291,994.298909632,994.298909882,885155.112974208,0.0070876669507242696,-884160.8105204925
19,885155.114407083,994.310364115,994.310364365,885155.130255666,0.01584833295964927,-884160.8119671345
20,885155.131693958,994.325228055,994.325228305,885155.139801666,0.008107458068593587,-884160.810519632
21,885155.142368166,994.335206431,994.335206681,885155.14977325,0.007404833975670044,-884160.8108641519
22,885155.151141916,994.343926198,994.343926323,885155.157716041,0.0065739999126890325,-884160.810502718
23,885155.159026791,994.351887849,994.351887974,885155.166045916,0.007019000041623258,-884160.810648442
24,885155.16755025,994.359578253,994.359578503,885155.173947666,0.006397166000283505,-884160.81117058
25,885155.177000333,994.369895375,994.3698955,885155.183780875,0.006780417084087276,-884160.8104951666
26,885155.185126125,994.377582779,994.377583029,885155.192047666,0.006921290945797409,-884160.8110039914
27,885155.193406,994.385578555,994.385578805,885155.199821208,0.006414957986748959,-884160.811034924
28,885155.201186125,994.393299584,994.393299709,885155.206846625,0.005660374911826693,-884160.8107167284
29,885155.210162333,994.403491582,994.403491707,885155.21774925,0.00758679202510848,-884160.810464147
30,885155.219093666,994.413776954,994.413777079,885155.232179041,0.013085250074254873,-884160.8118593369
31,885155.233594041,994.426421172,994.426421422,885155.241076625,0.007482333983830358,-884160.8109140359
32,885155.242458583,994.434894192,994.434894442,885155.249279208,0.006820375043503191,-884160.8109745785
33,885155.250691625,994.442584721,994.442584846,885155.2583345,0.007642749959813955,-884160.811928279
34,885155.261033208,994.454581322,994.454581447,885155.2686615,0.00762816696169466,-884160.8102659695
35,885155.269992791,994.461905231,994.461905481,885155.275787708,0.0057946670003730105,-884160.8109848935
36,885155.276987083,994.469900007,994.469900132,885155.283737625,0.00675041697195411,-884160.8104622845
37,885155.285058666,994.477589536,994.477589661,885155.291996541,0.006937749946700933,-884160.810938005
38,885155.295009791,994.487996407,994.487996782,885155.3018225,0.006812333917991964,-884160.8104195511
39,885155.303348666,994.499900009,994.499900384,885155.313770875,0.010421833928603519,-884160.808659574
40,885155.315112,994.507592913,994.507593288,885155.322240666,0.007128291038725365,-884160.8110832325
41,885155.32373175,994.520295005,994.52029538,885155.336206583,0.012474457939902095,-884160.809673974
42,885155.337338166,994.531921861,994.531922236,885155.346244875,0.008906334030257312,-884160.8098694719
43,885155.347975458,994.542237357,994.542237607,885155.35689275,0.00891704199796095,-884160.810196622
44,885155.358316125,994.552215358,994.552215733,885155.368694958,0.010378458045238403,-884160.811289996
45,885155.370073875,994.72057714,994.72057739,885155.537132375,0.1670582499956481,-884160.7330258599
46,885155.53851925,994.732362369,994.732362744,885155.54675775,0.0082381249841319,-884160.8102759435
47,885155.548140541,994.742216496,994.742216746,885155.555419625,0.007278834063981776,-884160.8095634619
48,885155.557272541,994.752199497,994.752199747,885155.568518333,0.011245542033179845,-884160.810695815
49,885155.569862291,994.766481945,994.766482195,885155.580387333,0.010524791958346214,-884160.808642742
50,885155.581896833,994.774892965,994.774893215,885155.588680166,0.006783083024970438,-884160.8103954096
51,885155.590113958,994.78258487,994.782585245,885155.59671875,0.006604416968229998,-884160.8108312965
52,885155.5981425,994.790486146,994.790486396,885155.606391958,0.008249207925587143,-884160.811780958
53,885155.608344791,994.800890892,994.800891017,885155.614795625,0.006450708985539677,-884160.8106792534
54,885155.619579416,994.81273387,994.81273412,885155.627278166,0.007698500006995346,-884160.810694796
55,885155.628650708,994.823811982,994.823812232,885155.640161916,0.011510958023905005,-884160.810594205
56,885155.641518833,994.834036355,994.834036855,885155.655618333,0.014099000025566966,-884160.814531978
57,885155.657009291,994.849907908,994.849908158,885155.66452975,0.0075202090102948205,-884160.8108614875
58,885155.6660705,994.858605675,994.858605925,885155.675665541,0.009594790930464114,-884160.8122622205
59,885155.677072041,994.871599638,994.871599763,885155.686910541,0.009838375060212456,-884160.8103915905
60,885155.688305916,994.88070165,994.880702275,885155.697064375,0.00875783400738328,-884160.811983183
61,885155.698597791,994.892822749,994.892823124,885155.710689125,0.01209095897786483,-884160.8118205215
62,885155.7122035,994.90521447,994.905214845,885155.719847791,0.0076439160358177105,-884160.8108109881
63,885155.721209166,994.915225971,994.915226096,885155.729985375,0.008776083967973136,-884160.8103712369
64,885155.731343125,994.926027587,994.926027711,885155.742024083,0.010680834046638665,-884160.810655955
65,885155.743370458,994.936059337,994.936059462,885155.749822666,0.0064520830355832,-884160.8105371625
66,885155.751365125,994.943900739,994.943900864,885155.758107375,0.0067421250578263425,-884160.8108354486
67,885155.759429541,994.951644518,994.951644768,885155.765745458,0.006315667009403114,-884160.8109428565
68,885155.767074916,994.959830291,994.959830791,885155.776741958,0.009666541944397977,-884160.812077896
69,885155.778059,994.970286786,994.970287036,885155.79156625,0.013506999997957791,-884160.814525714
70,885155.792890125,994.985618971,994.985619221,885155.799428083,0.006537708048313107,-884160.8105400079
71,885155.800783666,994.992605009,994.992605134,885155.807658083,0.006874292071302079,-884160.811615803
72,885155.809009208,995.001222902,995.001223027,885155.815718916,0.006709583017254772,-884160.8111410975
73,885155.817848958,995.011779646,995.011779771,885155.825418083,0.007569000038643026,-884160.809853812
74,885155.826573125,995.018577061,995.018577186,885155.833634416,0.007061166020321252,-884160.811526647
75,885155.835009333,995.030173417,995.030173667,885155.845897916,0.010888333026855435,-884160.8102800825
76,885155.84764825,995.039606675,995.039606925,885155.854579333,0.006930832927537267,-884160.8115069915
77,885155.8559195,995.048063444,995.048064069,885155.861751041,0.005830916027889543,-884160.810771514
78,885155.86306,995.060587039,995.060587414,885155.875145708,0.0120853329746069,-884160.8085156275
79,885155.876674583,995.068430691,995.068431191,885155.882784541,0.006109458048968008,-884160.8112986209
80,885155.884172208,995.076407092,995.076407592,885155.8924425,0.008269791960742623,-884160.811900012
81,885155.89437125,995.335117501,995.335117751,885156.15922075,0.26484925003217086,-884160.691678374
82,885156.1606215,995.354682758,995.354683258,885156.170107833,0.00948583300134942,-884160.8106816586
83,885156.174835791,995.368535336,995.368535711,885156.188822708,0.013986541979761569,-884160.813293726
84,885156.190204208,995.383548274,995.383548399,885156.20178,0.011575666984754207,-884160.8124437674
85,885156.203122666,995.400579312,995.400579562,885156.215006291,0.011883375062211599,-884160.8084850416
86,885156.217891,995.412573038,995.412573538,885156.226696708,0.008805208028434208,-884160.809720566
87,885156.22863675,995.421242306,995.421242556,885156.235983958,0.007346957982008462,-884160.811067923
88,885156.237324541,995.429893323,995.429893573,885156.243766083,0.0064412920638687865,-884160.8106518639
89,885156.245099208,995.440739188,995.440739438,885156.257886125,0.012786667039108579,-884160.8107533534
90,885156.259694583,995.453557779,995.453558029,885156.2677115,0.0080166670396693,-884160.8101451376
91,885156.269042416,995.462253171,995.462253546,885156.275808625,0.00676583402957931,-884160.810172162
92,885156.277149541,995.470321695,995.47032207,885156.285053625,0.007903709050196994,-884160.8107797005
93,885156.28639175,995.478607592,995.478607842,885156.292804375,0.006412375080003585,-884160.8109903454
94,885156.294163416,995.486903489,995.486903739,885156.300969083,0.00680541695521697,-884160.8106626355
95,885156.302437958,995.495249261,995.495249511,885156.310923,0.008484792024432863,-884160.8114310929
96,885156.312315708,995.505896628,995.505896878,885156.321006875,0.008690916993145947,-884160.8107645386
97,885156.322415916,995.5161765,995.516177,885156.330012166,0.007595750041446081,-884160.810037291
98,885156.331487958,995.524540521,995.524540771,885156.339064625,0.00757641700511158,-884160.8107356455
99,885156.340456,995.533237413,995.533237663,885156.350149625,0.00969337503386214,-884160.8120652745
