event,family,target,direction,size,repetition,software_submit_ms,queue_wait_ms,queue_total_ms,visible_onset_ms,first_90_ms,settled_ms,visible_motion_ms,settled_minus_drain_ms,baseline_luma,final_luma,luma_amplitude,accepted,drained
0,marker,black,marker,768,0,24.86990997567773,354.6317162690684,379.50162624474615,69.45793342310935,101.05707054026425,116.34259612765163,46.88466270454228,-263.1590301170945,103.40375,42.4975,-60.90625,1,1
1,marker,paper,marker,768,0,8.776968228630722,355.6217127479613,364.398680976592,65.16700983047485,133.8597983121872,147.39280322100967,82.22579339053482,-217.00587775558233,42.44,101.31,58.870000000000005,1,1
2,color3,black,darken,64,0,1.1389958672225475,604.4038120890036,605.5428079562262,37.242150167003274,63.905764487572014,67.6999333081767,30.457783141173422,-537.8428746480495,101.17750000000001,69.7975,-31.38000000000001,1,1
3,color3,paper,lighten,64,0,1.0839960305020213,604.9928100546822,606.0768060851842,76.94303756579757,156.06481838040054,160.8696028124541,83.92656524665654,-445.2072032727301,70.0325,101.375,31.3425,1,1
4,color3,black,darken,256,0,4.830982536077499,612.2947835829109,617.1257661189884,42.52632206771523,71.2279467843473,86.92360983695835,44.39728776924312,-530.20215628203,101.68125,42.855,-58.82625000000001,1,1
5,color3,paper,lighten,256,0,6.547976401634514,610.3397905826569,616.8877669842914,75.18610556144267,132.6273645972833,134.83265729155391,59.64655173011124,-482.05510969273746,42.771249999999995,101.54,58.76875000000001,1,1
6,color3,black,darken,768,0,32.865880988538265,614.2837763763964,647.1496573649347,77.21207581926137,102.76285489089787,111.60172312520444,34.38964730594307,-535.5479342397302,101.965,42.27875,-59.68625,1,1
7,color3,paper,lighten,768,0,44.07884052488953,614.6047752117738,658.6836157366633,126.64749403484166,173.64066059235483,176.1088987113908,49.46140467654914,-482.57471702527255,42.315,101.2125,58.89750000000001,1,1
8,native-live,black,darken,64,0,1.219995552673936,604.2198127834126,605.4398083360866,36.1895615933463,61.437876778654754,66.92176137585193,30.73219978250563,-538.5180469602346,101.4825,69.7675,-31.715000000000003,1,1
9,native-live,paper,lighten,64,0,1.225995598360896,604.7018110984936,605.9278066968545,69.92489192634821,144.71189479809254,160.12276441324502,90.19787248689681,-445.8050422836095,69.63,100.4325,30.80250000000001,1,1
10,native-live,black,darken,256,0,4.831982543691993,612.0867842109874,616.9187667546794,42.50744776800275,70.92165388166904,71.21577113866806,28.708323370665312,-545.7029956160113,100.6875,42.06,-58.6275,1,1
11,native-live,paper,lighten,256,0,5.775979021564126,610.8127889456227,616.5887679671869,67.91872018948197,130.77156129293144,134.98081907164305,67.06209888216108,-481.6079488955438,42.036249999999995,99.225,57.18875,1,1
12,native-live,black,darken,768,0,32.8048812225461,614.291776320897,647.0966575434431,76.71296363696456,102.60593285784125,112.09588381461799,35.38292017765343,-535.0007737288252,99.54,41.25375,-58.28625000000001,1,1
13,native-live,paper,lighten,768,0,41.47384990938008,617.3067654017359,658.780615311116,126.05506484396756,172.45115246623755,175.65572576131672,49.60066091734916,-483.12488954979926,41.3,98.8125,57.5125,1,1
14,native-live,red,darken,64,0,1.2019957648590207,604.5478115556762,605.7498073205352,37.75101399514824,74.91299125831574,533.6219214368612,495.8709074417129,-72.12788588367403,99.35249999999999,75.11,-24.242499999999993,1,1
15,native-live,paper,lighten,64,0,1.2319955276325345,604.4968118658289,605.7288073934615,230.3818459622562,432.37014836631715,443.55692516546696,213.17507920321077,-162.1718822279945,75.515,99.08,23.564999999999998,1,1
16,native-live,red,darken,256,0,4.744982928968966,612.5097826588899,617.2547655878589,41.191699798218906,82.1735697099939,537.9599309526384,496.7682311544195,-79.29483463522047,99.42125,54.805,-44.61625,1,1
17,native-live,paper,lighten,256,0,5.731979268603027,611.3637869711965,617.0957662397996,241.4754033088684,383.08519788552076,385.7796451775357,144.3042418686673,-231.31612106226385,54.894999999999996,98.7025,43.807500000000005,1,1
18,native-live,red,darken,768,0,40.11285479646176,606.8418032955378,646.9546580919996,72.41951394826174,114.11050264723599,579.37171170488,506.95219775661826,-67.58294638711959,99.2325,54.09,-45.1425,1,1
19,native-live,paper,lighten,768,0,42.12584753986448,616.6687677614391,658.7946153013036,283.64785946905613,419.85241475049406,426.1188864475116,142.47102697845548,-232.67572885379195,54.1475,98.3,44.152499999999996,1,1
20,native-mode14,black,darken,64,0,1.3719949638471007,604.3478123610839,605.719807324931,35.72498797439039,61.803820077329874,66.08008197508752,30.355094000697136,-539.6397253498435,98.555,67.79,-30.765,1,1
21,native-mode14,paper,lighten,64,0,1.0749960783869028,604.8138106707484,605.8888067491353,71.77457888610661,176.77706002723426,177.06475232262164,105.29017343651503,-428.8240544265136,67.9875,98.1675,30.180000000000007,1,1
22,native-mode14,black,darken,256,0,4.801982664503157,612.4327830038965,617.2347656683996,42.085034772753716,70.82325790543109,71.30975858308375,29.224723810330033,-545.9250070853159,98.2775,40.7975,-57.480000000000004,1,1
23,native-mode14,paper,lighten,256,0,5.920978612266481,611.18078767322,617.1017662854865,68.35387938190252,132.6147421495989,136.20280614122748,67.84892675932497,-480.89896014425904,40.7475,97.8725,57.125,1,1
24,native-mode14,black,darken,768,0,33.47187885083258,613.4607793064788,646.9326581573114,74.22783854417503,103.04012894630432,112.82387259416282,38.59603404998779,-534.1087855631486,98.4175,40.5075,-57.910000000000004,1,1
25,native-mode14,paper,lighten,768,0,44.594838516786695,1273.3523906208575,1317.9472291376442,413.6438531568274,526.5688301296905,526.6267134575173,112.98286030068994,-791.3205156801268,40.545,95.7525,55.207499999999996,1,1
