sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,884986.126275,825.45183935,825.451839725,884986.273351083,0.14707570799794212,-884160.747973504
1,884986.274806708,825.467359325,825.467359575,884986.281984916,0.007177957975727622,-884160.811036362
2,884986.283310416,825.477029732,825.477029857,884986.291685916,0.008375374979550543,-884160.8104683715
3,884986.293399583,825.485323402,825.485323902,884986.300210833,0.006810750001136512,-884160.8114815559
4,884986.301555666,825.493441573,825.493441573,884986.307775208,0.006219542003236711,-884160.8112238641
5,884986.30906825,825.500277507,825.500277507,884986.320080125,0.011011875001713634,-884160.8142966805
6,884986.321405791,825.521433928,825.521434178,884986.336659166,0.015253125051458483,-884160.8075984255
7,884986.33803325,825.530919462,825.530919712,884986.345635791,0.007602291008993234,-884160.8109149334
8,884986.34704975,825.539246381,825.539246631,884986.353875875,0.006825874968967582,-884160.8112163065
9,884986.355213416,825.547703175,825.547703425,884986.366756375,0.01154270890594944,-884160.8132815955
10,884986.368138875,825.560426177,825.560426427,884986.378639,0.010499875004825299,-884160.8129626354
11,884986.379990041,825.576122026,825.576122276,884986.390682958,0.010692666926956917,-884160.8092143484
12,884986.392069875,825.584909691,825.584909941,884986.400655125,0.008585000005155052,-884160.811452684
13,884986.401989208,825.596775201,825.596775451,884986.411766208,0.009776750057540085,-884160.810102382
14,884986.413114666,825.604655125,825.60465525,884986.41965825,0.006543458935198032,-884160.8117312705
15,884986.42103375,825.613592914,825.613593039,884986.428700208,0.007666332910162055,-884160.8112740025
16,884986.430023166,825.623424069,825.623424319,884986.439227583,0.009204167001371388,-884160.8112011806
17,884986.440578458,825.633098476,825.633098601,884986.447587958,0.007009374939116242,-884160.8109846695
18,884986.449004208,825.642731508,825.642731758,884986.456572375,0.007567917056917395,-884160.8100566585
19,884986.458097958,825.650270185,825.650270435,884986.464954416,0.0068562080286938,-884160.811255877
20,884986.4663305,825.660504712,825.660505087,884986.474618916,0.008288041080163566,-884160.8099698084
21,884986.47596525,825.668552759,825.668553009,884986.484650541,0.00868504092989042,-884160.8117550116
22,884986.485967666,825.683913486,825.683913736,884986.498685625,0.01271770900541469,-884160.8084130345
23,884986.500114291,825.691608036,825.691608161,884986.50581675,0.005702334020611488,-884160.811357422
24,884986.507199458,825.698744593,825.698744843,884986.513608791,0.006409083087532963,-884160.8116594065
25,884986.515271875,825.706279895,825.70628002,884986.52027525,0.005003250001209381,-884160.8114936049
26,884986.521594916,825.713298952,825.713299077,884986.527647625,0.006052583951714041,-884160.811322256
27,884986.529005,825.7213235,825.721323625,884986.535835125,0.006829999999467873,-884160.8110965
28,884986.536914333,825.728651679,825.728651804,884986.542633875,0.005719417037653329,-884160.8111223625
29,884986.54397825,825.736596852,825.736597102,884986.55066475,0.006686250040843333,-884160.810724523
30,884986.552033958,825.744946772,825.744947022,884986.646619666,0.09458545799327567,-884160.854379915
31,884986.647962416,826.064469439,826.064469689,884986.879398541,0.23143587488641515,-884160.6992109146
32,884986.880774875,826.076826945,826.076827195,884986.892682875,0.0119077499858804,-884160.8099018051
33,884986.894283708,826.087021722,826.087021972,884986.901533875,0.0072499170802302615,-884160.8108869444
34,884986.902892625,826.094926145,826.09492627,884986.909621166,0.0067284159896416895,-884160.811330688
35,884986.910938,826.103592437,826.103592562,884986.917640958,0.006702833024064603,-884160.8106969795
36,884986.91888,826.111130614,826.111130864,884986.925323666,0.006443415945000197,-884160.8109710941
37,884986.926708708,826.118607042,826.118607292,884986.932759458,0.006050499914749707,-884160.811126916
38,884986.934237375,826.127184834,826.127185209,884986.941642708,0.007404957988114802,-884160.81075502
39,884986.943055875,826.135910875,826.135911125,884986.949644958,0.006588833001046623,-884160.8104394164
40,884986.951037916,826.143599801,826.143600176,884986.957582166,0.006543874947283257,-884160.8107100525
41,884986.958979166,826.15193272,826.15193297,884986.965202208,0.006222792029916491,-884160.810157842
42,884986.966523333,826.158616031,826.158616406,884986.972266166,0.005742458018289653,-884160.810778531
43,884986.973621375,826.166062334,826.166062459,884986.989428541,0.01580704099706054,-884160.8154625616
44,884986.990712208,826.183066045,826.183066295,884986.998109875,0.007397417039214815,-884160.8113448715
45,884986.999525625,826.192460454,826.192460579,884987.007490083,0.007964332967276277,-884160.8110473375
46,884987.008807416,826.207871556,826.207871931,884987.021256666,0.012448875090854017,-884160.8071602974
47,884987.022572416,826.214920988,826.214921238,884987.029805416,0.007232750011212374,-884160.811267803
48,884987.031131708,826.223951901,826.223954151,884987.043560541,0.012426583055230367,-884160.8133930985
49,884987.044951291,826.23796914,826.23796939,884987.074644666,0.029693124992377307,-884160.8218287135
50,884987.075962833,826.268844968,826.268845218,884987.169593083,0.09362999996130839,-884160.853932865
51,884987.170926541,826.372881714,826.372881964,884987.189932,0.019005209034730797,-884160.8075474314
52,884987.191418375,826.385117221,826.385117471,884987.199634666,0.008216040967568006,-884160.8104091745
