sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,884947.640545958,787.050444603,787.050445353,884947.867550375,0.22700366710182607,-884160.7036031885
1,884947.869091083,787.06083478,787.060835155,884947.879405666,0.01031420807998984,-884160.813413407
2,884947.881357333,787.074128436,787.074128686,884947.88864,0.0072824169784553305,-884160.8108701055
3,884947.889945208,787.084165866,787.084166491,884947.898345833,0.008399999967195981,-884160.8099793419
4,884947.899655291,787.09065582,787.09065607,884947.904301583,0.004646041956334557,-884160.811322492
5,884947.905600958,787.097135274,787.097135524,884947.910948333,0.005347124943114068,-884160.8111392464
6,884947.912251916,787.103657729,787.103657979,884947.917666791,0.005414624991431083,-884160.8113014995
7,884947.919069375,787.110663304,787.110663554,884947.925484916,0.006415290934569384,-884160.8116137164
8,884947.926961666,787.118657248,787.118657623,884947.932748166,0.005786125056260971,-884160.8111974805
9,884947.934554958,787.12765481,787.12765506,884947.94138025,0.006825042017226224,-884160.810312669
10,884947.942720166,787.13465301,787.13465326,884947.948320583,0.005600167032753234,-884160.8108672395
11,884947.950050458,787.14184796,787.14184821,884947.956447541,0.006396833052349393,-884160.8114009146
12,884947.957854291,787.150162651,787.150162901,884947.964790958,0.00693641702127934,-884160.8111598485
13,884947.966277125,787.159299712,787.159299962,884947.975748958,0.009471583007439222,-884160.8117132045
14,884947.977539291,787.169732138,787.169732388,884947.984424458,0.006884916978378897,-884160.8112496114
15,884947.985871583,787.17799858,787.17799883,884947.9927665,0.006894666994526233,-884160.8113203365
16,884947.99413625,787.185896649,787.185896899,884948.000562625,0.006426125010079886,-884160.8114526635
17,884948.002189458,787.197998689,787.197999439,884948.012327208,0.010136999952237602,-884160.8092592689
18,884948.013575291,787.20490064,787.204901265,884948.019628291,0.006052374990076714,-884160.8117008386
19,884948.020949583,787.212885084,787.212885709,884948.027412208,0.006461999995053702,-884160.8112954991
20,884948.028764875,787.221033902,787.221034777,884948.035528333,0.006762583019167323,-884160.8111122645
21,884948.036893208,787.229920089,787.229920714,884948.044658125,0.007764291983448857,-884160.810855265
22,884948.046010583,787.2425565,787.242557,884948.057577833,0.01156674989408657,-884160.809237458
23,884948.059033916,787.251771435,787.25177181,884948.066368416,0.007334124969133882,-884160.8109295435
24,884948.067721208,787.258884885,787.25888551,884948.073363916,0.00564208304172098,-884160.8116573645
25,884948.074700583,787.265819836,787.265820461,884948.082096208,0.007394999998041385,-884160.812578247
26,884948.0834755,787.274751273,787.274751773,884948.08942025,0.005944250038851351,-884160.811696352
27,884948.090750833,787.282718092,787.282718592,884948.097415583,0.00666424993335113,-884160.8113648661
28,884948.098732416,787.290757786,787.290758161,884948.105409625,0.006676833933966009,-884160.8113130471
29,884948.106972666,787.298935478,787.298935978,884948.113329958,0.006356792062547356,-884160.811215584
30,884948.114637125,787.305785805,787.305786305,884948.120886041,0.006248415917298189,-884160.811975528
31,884948.122196,787.314651617,787.314652117,884948.130828,0.008631500070009679,-884160.811860133
32,884948.132144,787.323792053,787.323792803,884948.138832083,0.00668733294003232,-884160.8116956134
33,884948.140180708,787.331765622,787.331766372,884948.145467208,0.005285749974405007,-884160.8110579611
34,884948.146776166,787.338850322,787.338850572,884948.153459416,0.006682999957888569,-884160.811267344
35,884948.154793375,787.346710642,787.346711142,884948.16037275,0.005578874963362068,-884160.8108721706
36,884948.161649416,787.352735974,787.352736349,884948.167819125,0.006169334027731566,-884160.811998109
37,884948.169166041,787.36111429,787.361115165,884948.188881291,0.01971437500412776,-884160.8179089385
38,884948.190344416,787.388313724,787.388314474,884948.202451375,0.012106209009516533,-884160.8080837964
39,884948.204261916,787.395797171,787.395797546,884948.210896375,0.006634084015900044,-884160.811781787
40,884948.212421208,787.408081459,787.408081709,884948.222218416,0.009796958011065726,-884160.809238228
41,884948.223611458,787.416275527,787.416276027,884948.2302735,0.0066615419966638,-884160.810666702
42,884948.231998083,787.423808849,787.423809099,884948.238766375,0.006768042048975076,-884160.811573255
43,884948.240115416,787.434888271,787.434888646,884948.24986575,0.00974995896388009,-884160.8101021245
44,884948.251908541,787.446907436,787.446907936,884948.261887458,0.009978417078059465,-884160.8099903135
45,884948.263325833,787.455029004,787.455029754,884948.27021775,0.006891166971740859,-884160.8117424125
46,884948.271605666,787.464183314,787.464184189,884948.279802416,0.008195874957323213,-884160.8115202895
47,884948.281195875,787.474988113,787.474988738,884948.37617925,0.09498274993279665,-884160.853699137
48,884948.378652,787.663000164,787.663000539,884948.478170125,0.09951775006186381,-884160.765410711
49,884948.479625166,787.67418771,787.674190335,884948.492277791,0.012649999980453686,-884160.8117624561
50,884948.495120791,787.687919614,787.687919989,884948.5029025,0.0077813339622707645,-884160.811091844
51,884948.504307583,787.695821683,787.695822558,884948.510775875,0.006467416976420282,-884160.8117196085
52,884948.512427125,787.70476337,787.704764245,884948.521414458,0.008986458043523271,-884160.8121569841
53,884948.522793125,787.71751453,787.71751503,884948.531818166,0.009024541014014176,-884160.8097908655
54,884948.5333135,787.72606697,787.72606747,884948.540490875,0.00717687502424269,-884160.8108349675
55,884948.542564541,787.735446404,787.735447654,884948.5496125,0.007046709021210518,-884160.8106414916
56,884948.550961875,787.746655575,787.74665595,884948.560584208,0.009621957989224939,-884160.809117279
57,884948.561938625,787.753851899,787.753852399,884948.568414666,0.006475541045915634,-884160.8113244965
58,884948.569732791,787.761719344,787.761719594,884948.57759,0.007856958955017035,-884160.8119419266
59,884948.57890325,787.77008941,787.770089535,884948.58442775,0.0055243749238798046,-884160.8115760274
60,884948.58575475,787.776559739,787.776559864,884948.591399375,0.005644500052881085,-884160.8120172609
61,884948.592736125,787.789562398,787.789563523,884948.604474875,0.01173762503594844,-884160.8090425394
62,884948.605795791,787.799986574,787.799986949,884948.6144635,0.008667333956623224,-884160.810142884
63,884948.615821875,787.809371133,787.809371383,884948.629646458,0.013824332914850856,-884160.8133629085
64,884948.630984583,787.822671539,787.822671789,884948.636409458,0.005424624951160695,-884160.8110253565
65,884948.637793166,787.83114973,787.83114998,884948.647212875,0.009419458978413786,-884160.8113531654
66,884948.648549958,787.861403017,787.861403642,884948.678086875,0.029536291990780228,-884160.801915087
67,884948.679640125,787.870721451,787.870721576,884948.685797875,0.006157625030937197,-884160.8119974865
68,884948.687251666,787.878656145,787.878656395,884948.692462291,0.005210375007777657,-884160.8112007085
69,884948.693817875,787.886590839,787.886591089,884948.700460416,0.006642291033131187,-884160.8105481815
70,884948.701816625,787.893677789,787.893678164,884948.707436458,0.0056194580130295435,-884160.8109485649
71,884948.709095791,787.904781336,787.904782336,884948.719879958,0.01078316698146864,-884160.8097060386
72,884948.722999625,787.914862765,787.914863015,884948.730134583,0.007134707937439089,-884160.811704214
73,884948.731525458,787.922662585,787.92266296,884948.736653916,0.005128082909436671,-884160.8114269145
74,884948.739093583,787.930690529,787.930690779,884948.744921416,0.005827583083487298,-884160.8113168455
75,884948.746393416,787.938013727,787.938013977,884948.753472541,0.007078875032789256,-884160.8119191264
76,884948.7548525,787.946666416,787.946666666,884948.760869625,0.006016874978740816,-884160.8111945216
77,884948.762345958,787.953663367,787.953663617,884948.768128666,0.005782457943610098,-884160.81157382
78,884948.774262666,787.969288632,787.969289007,884948.789249291,0.014986249941216556,-884160.812467159
79,884948.790884125,787.982820037,787.982820287,884948.797539833,0.0066554579553894655,-884160.8113918169
80,884948.798968125,787.991661349,787.991661849,884948.8056295,0.006660874936756045,-884160.8106372135
81,884948.806882333,788.278702078,788.278702453,884949.09680875,0.2899260419391112,-884160.673143276
82,884949.09830425,788.289992498,788.289992873,884949.106409208,0.008104582989403752,-884160.8123640436
83,884949.107751041,788.299692555,788.29969293,884949.114595833,0.006844417049364893,-884160.8114806945
84,884949.115825916,788.307764748,788.307764998,884949.122497041,0.006670875069175963,-884160.8113966055
85,884949.123851458,788.320733032,788.320734407,884949.134974666,0.011121833096240152,-884160.8086793425
86,884949.13631225,788.328392728,788.328394103,884949.143064708,0.006751082935352315,-884160.8112950635
87,884949.144429041,788.3358023,788.3358028,884949.150189791,0.005760250034768433,-884160.811506866
88,884949.151518375,788.342672502,788.342674752,884949.156351916,0.004831290995639392,-884160.8112615185
89,884949.157523333,788.348856708,788.348857083,884949.163402791,0.005879083039985744,-884160.8116061664
90,884949.164719666,788.356658154,788.356658404,884949.171144708,0.006424791938229646,-884160.811273908
91,884949.172552958,788.363691354,788.363691604,884949.177517583,0.004964374997257437,-884160.8113437914
92,884949.179075625,788.376876386,788.376877511,884949.192203958,0.013127208026617154,-884160.808762843
93,884949.193600583,788.386935815,788.38693919,884949.202621083,0.009017125001491877,-884160.8111733305
94,884949.206281791,788.406999549,788.407000174,884949.221285333,0.015002917066567534,-884160.8067837005
95,884949.222635916,788.415740987,788.415741237,884949.230063,0.0074268340268872635,-884160.810608346
96,884949.231393166,788.422703063,788.422703563,884949.237619791,0.006226124944191724,-884160.8118031655
97,884949.238951791,788.432740743,788.432741493,884949.247676583,0.00872404204551458,-884160.8105730689
98,884949.249005791,788.442003302,788.442003927,884949.255977625,0.006971208994627887,-884160.8104880935
99,884949.257303416,788.44878913,788.44878963,884949.263241625,0.005937709011277548,-884160.8114831406
