name,x,y,width,height
p_800_250,797,247,7,7
p_800_260,797,257,7,7
p_800_270,797,267,7,7
p_800_280,797,277,7,7
p_800_290,797,287,7,7
p_800_300,797,297,7,7
p_800_310,797,307,7,7
p_800_320,797,317,7,7
p_800_330,797,327,7,7
p_800_340,797,337,7,7
p_800_350,797,347,7,7
p_800_360,797,357,7,7
p_800_370,797,367,7,7
p_800_380,797,377,7,7
p_800_390,797,387,7,7
p_800_400,797,397,7,7
p_800_410,797,407,7,7
p_800_420,797,417,7,7
p_800_430,797,427,7,7
p_800_440,797,437,7,7
p_800_450,797,447,7,7
p_800_460,797,457,7,7
p_800_470,797,467,7,7
p_800_480,797,477,7,7
p_800_490,797,487,7,7
p_800_500,797,497,7,7
p_800_510,797,507,7,7
p_800_520,797,517,7,7
p_800_530,797,527,7,7
p_800_540,797,537,7,7
p_800_550,797,547,7,7
p_800_560,797,557,7,7
p_800_570,797,567,7,7
p_800_580,797,577,7,7
p_800_590,797,587,7,7
p_800_600,797,597,7,7
p_800_610,797,607,7,7
p_800_620,797,617,7,7
p_800_630,797,627,7,7
p_800_640,797,637,7,7
p_800_650,797,647,7,7
p_800_660,797,657,7,7
p_800_670,797,667,7,7
p_800_680,797,677,7,7
p_800_690,797,687,7,7
p_800_700,797,697,7,7
p_800_710,797,707,7,7
p_800_720,797,717,7,7
p_800_730,797,727,7,7
p_800_740,797,737,7,7
p_800_750,797,747,7,7
p_810_250,807,247,7,7
p_810_260,807,257,7,7
p_810_270,807,267,7,7
p_810_280,807,277,7,7
p_810_290,807,287,7,7
p_810_300,807,297,7,7
p_810_310,807,307,7,7
p_810_320,807,317,7,7
p_810_330,807,327,7,7
p_810_340,807,337,7,7
p_810_350,807,347,7,7
p_810_360,807,357,7,7
p_810_370,807,367,7,7
p_810_380,807,377,7,7
p_810_390,807,387,7,7
p_810_400,807,397,7,7
p_810_410,807,407,7,7
p_810_420,807,417,7,7
p_810_430,807,427,7,7
p_810_440,807,437,7,7
p_810_450,807,447,7,7
p_810_460,807,457,7,7
p_810_470,807,467,7,7
p_810_480,807,477,7,7
p_810_490,807,487,7,7
p_810_500,807,497,7,7
p_810_510,807,507,7,7
p_810_520,807,517,7,7
p_810_530,807,527,7,7
p_810_540,807,537,7,7
p_810_550,807,547,7,7
p_810_560,807,557,7,7
p_810_570,807,567,7,7
p_810_580,807,577,7,7
p_810_590,807,587,7,7
p_810_600,807,597,7,7
p_810_610,807,607,7,7
p_810_620,807,617,7,7
p_810_630,807,627,7,7
p_810_640,807,637,7,7
p_810_650,807,647,7,7
p_810_660,807,657,7,7
p_810_670,807,667,7,7
p_810_680,807,677,7,7
p_810_690,807,687,7,7
p_810_700,807,697,7,7
p_810_710,807,707,7,7
p_810_720,807,717,7,7
p_810_730,807,727,7,7
p_810_740,807,737,7,7
p_810_750,807,747,7,7
p_820_250,817,247,7,7
p_820_260,817,257,7,7
p_820_270,817,267,7,7
p_820_280,817,277,7,7
p_820_290,817,287,7,7
p_820_300,817,297,7,7
p_820_310,817,307,7,7
p_820_320,817,317,7,7
