region,camera_center,causal_camera_coordinate,causal_raw_coordinate,input_host_seconds,visible_onset_seconds,visible_onset_ms,baseline_luma,final_luma,luma_amplitude
p_940_310,310,304.0,2495.490909090909,884960.6669714687,884960.8044666667,137.49519793782383,94.16326530612245,83.9795918367347,-10.183673469387756
p_940_320,320,314.0,2614.2181818181816,884960.7959221388,884960.9544666667,158.54452783241868,92.48979591836735,81.10204081632654,-11.387755102040813
p_940_330,330,324.0,2732.9454545454546,884960.9551694788,884961.0884666666,133.29718785826117,98.55102040816327,89.41836734693878,-9.132653061224488
p_940_340,340,334.0,2851.672727272727,884961.0680215097,884961.1714666666,103.44515694305301,98.87755102040816,93.15306122448979,-5.724489795918373
p_940_350,350,344.0,2970.4,884961.1952554802,884961.2714666667,76.21118647512048,97.04081632653062,89.51020408163265,-7.530612244897966
p_940_360,360,354.0,3089.1272727272726,884961.3437660264,884961.3544666667,10.700640268623829,88.59183673469387,82.0204081632653,-6.571428571428569
p_940_370,370,364.0,3207.8545454545456,884961.4894543445,884961.5704666667,81.01232221815735,99.18367346938776,92.57142857142857,-6.612244897959187
p_940_380,380,374.0,3326.581818181818,884961.5992424475,884961.7044666667,105.22421915084124,100.20408163265306,89.10204081632654,-11.102040816326522
p_940_390,390,384.0,3445.3090909090906,884961.7108362657,884961.8214666666,110.63040094450116,100.26530612244898,89.71428571428571,-10.551020408163268
p_940_400,400,394.0,3564.0363636363636,884961.8371204692,884961.9214666666,84.34619742911309,100.42857142857143,89.65306122448979,-10.775510204081641
p_940_410,410,404.0,3682.7636363636366,884961.9508432861,884962.0214666667,70.62338059768081,100.55102040816327,88.41836734693878,-12.132653061224488
p_940_420,420,414.0,3801.490909090909,884962.069943445,884962.1714666666,101.52322158683091,100.75510204081633,87.88775510204081,-12.867346938775512
p_940_430,430,424.0,3920.2181818181816,884962.2060571093,884962.3044666667,98.40955736581236,100.95918367346938,88.22448979591837,-12.73469387755101
p_940_440,440,434.0,4038.9454545454546,884962.3545033836,884962.4544666667,99.96328304987401,100.61224489795919,88.51020408163265,-12.102040816326536
p_940_450,450,444.0,4157.672727272728,884962.5119868363,884962.6044666667,92.47983037494123,97.46938775510205,82.85714285714286,-14.612244897959187
p_940_460,460,454.0,4276.4,884962.6519561961,884962.7044666667,52.51047061756253,96.28571428571429,83.06122448979592,-13.224489795918373
p_940_470,470,464.0,4395.127272727273,884962.795063238,884962.8714666667,76.40342868398875,101.0204081632653,88.94897959183673,-12.07142857142857
p_940_480,480,474.0,4513.854545454546,884962.9551026947,884963.0214333333,66.33063859771937,101.08163265306122,89.21428571428572,-11.867346938775498
p_940_490,490,484.0,4632.581818181818,884963.0793164732,884963.1714333333,92.11686009075493,101.08163265306122,89.06122448979592,-12.020408163265301
p_940_500,500,494.0,4751.3090909090915,884963.2445213792,884963.3044333333,59.91195410024375,102.12244897959184,89.46938775510205,-12.65306122448979
p_940_510,510,504.0,4870.036363636364,884963.3959427406,884963.4544333334,58.49059275351465,101.91836734693878,89.25510204081633,-12.663265306122454
p_940_520,520,514.0,4988.763636363636,884963.5408595458,884963.6044333334,63.57378757093102,101.75510204081633,88.26530612244898,-13.48979591836735
p_940_530,530,524.0,5107.49090909091,884963.7126781488,884963.7554333333,42.755184578709304,101.77551020408163,87.77551020408163,-14.0
p_940_540,540,534.0,5226.218181818182,884963.8543135809,884963.9214333333,67.11975240614265,102.12244897959184,87.41836734693878,-14.704081632653057
p_940_550,550,544.0,5344.945454545455,884964.0300399801,884964.0704333333,40.39335320703685,102.26530612244898,84.74489795918367,-17.5204081632653
p_940_560,560,554.0,5463.672727272728,884964.1794959744,884964.2384333333,58.9373589027673,102.55102040816327,86.18367346938776,-16.367346938775512
p_940_570,570,564.0,5582.4,884964.3504507301,884964.4214333333,70.98260323982686,102.38775510204081,90.03061224489795,-12.357142857142861
p_940_580,580,574.0,5701.127272727273,884964.5083615326,884964.5884333333,80.07180073764175,101.81632653061224,90.06122448979592,-11.755102040816325
p_940_590,590,584.0,5819.854545454546,884964.642940522,884964.7054333333,62.492811237461865,102.77551020408163,89.34693877551021,-13.428571428571416
p_940_600,600,594.0,5938.581818181818,884964.7566967119,884964.8044333333,47.73662146180868,102.36734693877551,85.73469387755102,-16.632653061224488
p_940_610,610,604.0,6057.3090909090915,884964.9517776346,884964.9874333333,35.655698738992214,102.42857142857143,84.36734693877551,-18.06122448979592
p_940_620,620,614.0,6176.036363636364,884965.1867632323,884965.2044333334,17.670101020485163,102.83673469387755,85.70408163265306,-17.132653061224488
p_940_630,630,624.0,6294.763636363636,884965.414223783,884965.4554333333,41.20955034159124,102.6734693877551,85.94897959183673,-16.724489795918373
