sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,887170.293436125,459.494617561,459.494618311,887170.302118291,0.008681415993351038,-886710.8031592721
1,887170.316367333,459.681911558,459.681911933,887170.491216083,0.17484837500086314,-886710.7218799626
2,887170.502335041,459.707698006,459.707698506,887170.519465875,0.017130334050477813,-886710.8032022021
3,887170.531068125,459.733383457,459.733383957,887170.542340041,0.011271415980615984,-886710.8033203761
4,887170.554626416,459.755656731,459.755657106,887170.563146208,0.008519416997955886,-886710.8032293934
5,887170.574939416,459.776956401,459.776956651,887170.586251125,0.011311458949535336,-886710.8036387445
6,887170.597721375,459.797980326,459.797980576,887170.607051458,0.009329833034030344,-886710.8044059654
7,887170.621404208,459.82236418,459.82236443,887170.62980275,0.008398291947855796,-886710.803239174
8,887170.641923833,459.843672725,459.8436731,887170.651789416,0.00986520792059764,-886710.8031837121
9,887170.663947291,459.984906831,459.984907206,887170.795385541,0.13143787507135585,-886710.7447593975
10,887170.806711041,460.007453099,460.007453474,887170.815707083,0.008995666957275716,-886710.8037557756
11,887170.826967583,460.026942682,460.026942932,887170.839685875,0.012718041953235115,-886710.806383922
12,887170.8522755,460.053894356,460.053894606,887170.862071708,0.00979595800356492,-886710.803279123
13,887170.874645583,460.074378418,460.074378668,887170.881090458,0.006444625034475848,-886710.8034894775
14,887170.891306666,460.092173413,460.092173788,887170.901178708,0.009871666991898564,-886710.8040690864
15,887170.913573041,460.112949468,460.112949718,887170.920164166,0.00659087504220679,-886710.8039190106
16,887170.932645833,460.294839455,460.294839705,887171.105951125,0.17330504203169994,-886710.724458899
17,887171.118179,460.319948668,460.319949043,887171.128093958,0.009914583034628777,-886710.8031876235
18,887171.140677291,460.347332583,460.347332958,887171.156169708,0.015492042034736642,-886710.801090729
19,887171.168018541,460.368265636,460.368265886,887171.265694375,0.09767558408390187,-886710.8485906969
20,887171.278057958,460.599560441,460.599560816,887171.409579166,0.1315208329789357,-886710.7442579335
21,887171.420965708,460.62954905,460.629549425,887171.437097583,0.016131499988773612,-886710.799482408
22,887171.448619375,460.649294878,460.649295128,887171.456145833,0.007526208008187041,-886710.803087601
23,887171.468405875,460.669378574,460.669378824,887171.478347416,0.009941291007748987,-886710.8039979466
24,887171.488588333,460.691958841,460.691959091,887171.500146458,0.011557875028358922,-886710.8024084296
25,887171.511546166,460.712793021,460.712793396,887171.5231755,0.011628958952428547,-886710.8045676246
26,887171.536643791,460.737312246,460.737312621,887171.546149583,0.00950541693885043,-886710.8040842535
27,887171.558713833,460.909006826,460.909007201,887171.791570125,0.23285591704473063,-886710.7661349655
28,887171.803838125,461.214699166,461.214699541,887172.02292725,0.21908875005021855,-886710.698683334
29,887172.034880125,461.235685468,461.235685718,887172.044075791,0.009195416061686501,-886710.803792365
30,887172.056656875,461.257267881,461.257268256,887172.068813375,0.01215612501545138,-886710.8054670565
31,887172.08105275,461.280613007,461.280613382,887172.090126791,0.009073666037807016,-886710.804976576
32,887172.1019895,461.302219046,461.302219421,887172.1146995,0.012709625039065031,-886710.8061252665
33,887172.126505416,461.328579982,461.328580357,887172.138625541,0.012119750000351814,-886710.803985309
34,887172.150886208,461.350984128,461.350984378,887172.157721791,0.006835332898901925,-886710.8033197465
35,887172.168987875,461.368932869,461.368933244,887172.175713583,0.006725333022700397,-886710.8034176724
36,887172.1878425,461.389130688,461.389131063,887172.198096208,0.010253332994750508,-886710.8038384785
37,887172.2106845,461.410917847,461.410918097,887172.21814675,0.007461999952397491,-886710.803497653
38,887172.230600208,461.521691729,461.521692229,887172.335130458,0.10452974995513387,-886710.761173354
39,887172.346778833,461.54806929,461.54806954,887172.355797916,0.009018832994229342,-886710.8032189595
40,887172.368166458,461.567937365,461.56793774,887172.375104416,0.00693758306726977,-886710.8036978845
41,887172.386588041,461.58691621,461.586916585,887172.394687083,0.008098666995635995,-886710.8037211645
42,887172.406039,461.605959553,461.605959803,887172.414064791,0.008025541030349359,-886710.8040922175
43,887172.426429166,461.627069226,461.627069601,887172.437169458,0.01073991702571675,-886710.8047298985
44,887172.447727541,461.648296023,461.648296273,887172.457084458,0.009356666998485252,-886710.8041098515
45,887172.469033041,461.670295927,461.670296177,887172.479513208,0.010479916994938776,-886710.8039770725
46,887172.491148625,461.691259104,461.691259479,887172.500317416,0.00916841600258067,-886710.8044737291
47,887172.512869,461.713407256,461.713407631,887172.520073,0.007203625023180393,-886710.8030635566
48,887172.532637875,461.739566321,461.739566571,887172.549179958,0.016541833001667783,-886710.8013424705
49,887172.559853916,461.761465603,461.761465853,887172.56912675,0.009272583936819956,-886710.803024605
