sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,887145.839853833,435.102878605,435.10287973,887145.910526833,0.07067187506748951,-886710.7723111655
1,887145.923124833,435.124697513,435.124697888,887145.931587416,0.00846220794767305,-886710.802658424
2,887145.943742041,435.144078224,435.144078599,887145.950533375,0.006790959017166642,-886710.8030592964
3,887145.963104083,435.163842427,435.163842677,887145.973186083,0.010081750051654126,-886710.8043025311
4,887145.986769,435.188382277,435.188382527,887145.996085291,0.009316041078022863,-886710.8030447435
5,887146.008470875,435.209796319,435.209796569,887146.099562375,0.09109125001316443,-886710.844220181
6,887146.110181875,435.40902556,435.409026185,887146.21815975,0.10797725004266567,-886710.75514494
7,887146.230030916,435.431015215,435.431015465,887146.239994666,0.009963499907939877,-886710.803997451
8,887146.252106375,435.452413883,435.452414258,887146.259803625,0.007696875112003454,-886710.8035409295
9,887146.27148925,435.473015442,435.473015817,887146.28005875,0.00856912494344897,-886710.8027583705
10,887146.291526375,435.492635398,435.492635773,887146.299543708,0.008016957991571871,-886710.8028994559
11,887146.311100041,435.517203373,435.517203748,887146.32554,0.01443958396259859,-886710.80111646
12,887146.33677075,435.538683164,435.538683539,887146.348583333,0.011812207961327204,-886710.80399369
13,887146.360827333,435.715046019,435.715046394,887146.524210458,0.16338275009468362,-886710.727472689
14,887146.535846833,436.024138536,436.024138911,887146.833443291,0.2975960829963924,-886710.6605063386
15,887146.844545791,436.044788845,436.04478922,887146.852128916,0.007582749912387499,-886710.803548321
16,887146.864103833,436.064491174,436.064491674,887146.87260675,0.00850241701499499,-886710.8038638675
17,887146.884042375,436.085039859,436.085040109,887146.892081208,0.008038582922495152,-886710.8030218075
18,887146.903962458,436.104447694,436.104448069,887146.913157666,0.009194832967409639,-886710.8041121805
19,887146.925813208,436.126475098,436.126475348,887146.936741,0.010927542056492712,-886710.8048018811
20,887146.948722875,436.148969368,436.148969743,887146.958036458,0.009313208024764208,-886710.8044101109
21,887146.969221041,436.16895319,436.16895344,887146.978692166,0.009470875085867192,-886710.8050032884
22,887146.991286,436.197740075,436.197740325,887147.006839125,0.01555287494750246,-886710.8013223625
23,887147.019661458,436.220110972,436.220111347,887147.027148541,0.007486707970315365,-886710.80329384
24,887147.039735208,436.240041296,436.240041546,887147.048947333,0.009211874976358558,-886710.8042998496
25,887147.060493125,436.357045295,436.35704592,887147.165058208,0.10456445804919667,-886710.755730059
26,887147.177663041,436.378010596,436.378010971,887147.18656375,0.008900333984627196,-886710.804102612
27,887147.19920775,436.407181473,436.407181973,887147.215048166,0.01583991595924772,-886710.799946235
28,887147.226955958,436.427409165,436.42740954,887147.235370416,0.008414083017783014,-886710.8037538345
29,887147.247868083,436.44941607,436.44941632,887147.258076375,0.010208042049328014,-886710.803556034
30,887147.268821291,436.469433642,436.469433892,887147.275967,0.007145459008938815,-886710.8029603786
31,887147.286221583,436.488071119,436.488071494,887147.295114458,0.00889249993190333,-886710.802596714
32,887147.3075255,436.508044192,436.508044692,887147.315946958,0.008420958071098994,-886710.803691787
33,887147.327423083,436.527970516,436.527970891,887147.336030416,0.008606957943925408,-886710.803756046
34,887147.348650125,436.549626678,436.549627053,887147.359034708,0.01038420803081408,-886710.804215551
35,887147.37192875,436.574711892,436.574712142,887147.383106708,0.011177707989247665,-886710.802805712
36,887147.394871625,436.594653965,436.59465434,887147.40268775,0.007815749940334626,-886710.8041255351
37,887147.415072416,436.616868365,436.61686874,887147.423981125,0.008908334045543143,-886710.802658218
38,887147.435787208,436.643141304,436.643141679,887147.4518495,0.016061916921103148,-886710.8006768625
39,887147.46577725,436.667217914,436.667218164,887147.476182125,0.01040462503630124,-886710.8037616485
40,887147.487315375,436.687451732,436.687452107,887147.493972166,0.0066564159670861045,-886710.803191851
41,887147.504312041,436.705338849,436.705339099,887147.5129965,0.008684209025943801,-886710.8033152965
42,887147.525878291,436.726364275,436.72636465,887147.535178583,0.009299917003886549,-886710.8041639745
43,887147.548028083,436.748035686,436.748036186,887147.556383291,0.008354707974092435,-886710.804169751
44,887147.567541291,436.768360127,436.768360502,887147.579032541,0.011490875013919322,-886710.8049266015
45,887147.591059375,436.946611942,436.946612442,887147.756275041,0.1652151660566119,-886710.727055016
46,887147.768953125,436.968822592,436.968823217,887147.774965833,0.00601208306505896,-886710.8031365746
47,887147.785311958,436.985977725,436.98597835,887147.793242333,0.00792974993714779,-886710.803299108
48,887147.805423541,437.00633129,437.006331665,887147.814797041,0.00937312501184806,-886710.8037788135
49,887147.827155333,437.027443464,437.027443839,887147.835983875,0.008828166962416617,-886710.8041259525
