region,camera_center,causal_camera_coordinate,causal_raw_coordinate,input_host_seconds,visible_onset_seconds,visible_onset_ms,baseline_luma,final_luma,luma_amplitude
p_940_310,310,304.0,2495.490909090909,887152.0481966547,887152.2218333334,173.63667872268707,101.16326530612245,94.22448979591837,-6.938775510204081
p_940_320,320,314.0,2614.2181818181816,887152.1771134947,887152.3888333334,211.7198386695236,101.79591836734694,94.4591836734694,-7.3367346938775455
p_940_330,330,324.0,2732.9454545454546,887152.3363500317,887152.5058333334,169.48330169543624,102.06122448979592,94.8061224489796,-7.255102040816325
p_940_340,340,334.0,2851.672727272727,887152.4492328882,887152.4548333334,5.60044520534575,102.08163265306122,96.53061224489795,-5.551020408163268
p_940_350,350,344.0,2970.4,887152.5764512401,887152.7218333334,145.38209326565266,102.24489795918367,95.6938775510204,-6.551020408163268
p_940_360,360,354.0,3089.1272727272726,887152.7249489764,887152.8378333333,112.88435687310994,102.12244897959184,96.83673469387755,-5.285714285714292
p_940_370,370,364.0,3207.8545454545456,887152.8706609311,887152.9888333334,118.17240226082504,102.22448979591837,96.89795918367346,-5.326530612244909
p_940_380,380,374.0,3326.581818181818,887152.9804830423,887153.1218333333,141.3502909708768,102.16326530612245,96.34693877551021,-5.816326530612244
p_940_390,390,384.0,3445.3090909090906,887153.092021886,887153.1718333333,79.81144730001688,102.91836734693878,97.87755102040816,-5.040816326530617
p_940_400,400,394.0,3564.0363636363636,887153.2183321823,887153.2718333333,53.50115103647113,103.0,97.79591836734693,-5.204081632653072
p_940_410,410,404.0,3682.7636363636366,887153.3320822107,887153.4378333334,105.7511226972565,102.79591836734694,96.98979591836735,-5.806122448979593
p_940_420,420,414.0,3801.490909090909,887153.4510473437,887153.5718333333,120.78598968219012,103.16326530612245,95.24489795918367,-7.91836734693878
p_940_430,430,424.0,3920.2181818181816,887153.5872629527,887153.7218333334,134.57038067281246,103.16326530612245,94.01020408163265,-9.153061224489804
p_940_440,440,434.0,4038.9454545454546,887153.735732122,887153.9058333334,170.10121140629053,103.04081632653062,96.6938775510204,-6.3469387755102105
p_940_450,450,444.0,4157.672727272728,887153.8932051384,887154.0058333334,112.62819496914744,103.28571428571429,97.46938775510205,-5.816326530612244
p_940_460,460,454.0,4276.4,887154.0331609705,887154.1388333334,105.67236284259707,103.08163265306122,97.15306122448979,-5.928571428571431
p_940_470,470,464.0,4395.127272727273,887154.1762730168,887154.2888333333,112.56031645461917,103.40816326530613,97.25510204081633,-6.153061224489804
p_940_480,480,474.0,4513.854545454546,887154.3363138747,887154.4548333334,118.51945868693292,103.61224489795919,96.87755102040816,-6.734693877551024
p_940_490,490,484.0,4632.581818181818,887154.4605430224,887154.5718333333,111.29031097516418,103.95918367346938,96.01020408163265,-7.948979591836732
p_940_500,500,494.0,4751.3090909090915,887154.6257512124,887154.7218333334,96.082121017389,104.0,97.31632653061224,-6.683673469387756
p_940_510,510,504.0,4870.036363636364,887154.7771670937,887154.8888333334,111.66623968165368,104.08163265306122,96.28571428571429,-7.795918367346928
p_940_520,520,514.0,4988.763636363636,887154.9220652173,887155.0228333334,100.76811606995761,104.14285714285714,94.79591836734694,-9.346938775510196
p_940_530,530,524.0,5107.49090909091,887155.0939077436,887155.1728333334,78.92558979801834,104.3061224489796,94.51020408163265,-9.795918367346943
p_940_540,540,534.0,5226.218181818182,887155.2355617842,887155.3388333333,103.27154910191894,103.93877551020408,96.0,-7.938775510204081
p_940_550,550,544.0,5344.945454545455,887155.4112571843,887155.5048333333,93.57614896725863,104.24489795918367,95.45918367346938,-8.785714285714292
p_940_560,560,554.0,5463.672727272728,887155.5607299178,887155.6548,94.07008218113333,104.55102040816327,94.94897959183675,-9.602040816326522
p_940_570,570,564.0,5582.4,887155.7316909402,887155.8058333333,74.14239307399839,104.44897959183673,98.73469387755102,-5.714285714285708
p_940_580,580,574.0,5701.127272727273,887155.8896018178,887155.9548,65.19818212836981,104.28571428571429,97.5,-6.785714285714292
p_940_590,590,584.0,5819.854545454546,887156.0241907453,887156.1048333333,80.64258797094226,104.65306122448979,97.76530612244898,-6.887755102040813
p_940_600,600,594.0,5938.581818181818,887156.1379316511,887156.2228,84.86834890209138,104.44897959183673,95.26530612244898,-9.183673469387756
p_940_610,610,604.0,6057.3090909090915,887156.3329801831,887156.4398,106.81981698144227,104.71428571428571,94.05102040816327,-10.66326530612244
p_940_620,620,614.0,6176.036363636364,887156.5679995056,887156.6728,104.80049438774586,104.34693877551021,94.38775510204081,-9.959183673469397
p_940_630,630,624.0,6294.763636363636,887156.7954715382,887156.8548,59.328461764380336,105.06122448979592,97.15306122448979,-7.908163265306129
