sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,887382.7323075,671.955724715,671.955725465,887382.765677166,0.03336891608182668,-886710.7932672431
1,887382.777774,671.981635574,671.981636074,887382.789239041,0.011464541083341828,-886710.8018706965
2,887382.800997583,672.002411636,672.002412386,887382.810357041,0.009358707995829718,-886710.8032653009
3,887382.823716375,672.025693159,672.025693659,887382.834301541,0.01058466593178764,-886710.803315549
4,887382.845316291,672.0461686,672.046169225,887382.857297,0.011980084037759298,-886710.805137733
5,887382.868830041,672.069388125,672.069388625,887382.88883925,0.020008708936302355,-886710.8094462706
6,887382.900505583,672.099480295,672.099480795,887382.906776041,0.006269957990525654,-886710.8041602671
7,887382.918212541,672.117643021,672.117643521,887382.9258335,0.007620458960673204,-886710.8043797495
8,887382.9383235,672.137071728,672.137072228,887382.945221166,0.006897166025964907,-886710.804700355
9,887382.957442708,672.156427936,672.156428561,887382.9736355,0.01619216698350101,-886710.8091108555
10,887382.98483425,672.569544325,672.569544825,887383.381614666,0.3967799160202503,-886710.613679883
11,887383.393235333,672.59535981,672.595360435,887383.403627083,0.010391125023716086,-886710.8030710856
12,887383.414602166,672.612820296,672.612820671,887383.420845,0.006242458915153293,-886710.8049030995
13,887383.432369958,672.631429515,672.63142989,887383.440222791,0.007852458019556252,-886710.804866672
14,887383.454313416,672.654423043,672.654423418,887383.462247541,0.007933750023880748,-886710.803857248
15,887383.474394875,672.674736112,672.674736737,887383.48774075,0.013345249962412709,-886710.806331388
16,887383.500401,672.700430099,672.700430474,887383.593391375,0.09299000000748947,-886710.846465901
17,887383.605995958,672.876739062,672.876739562,887383.687750458,0.08175400004631683,-886710.770133896
18,887383.697949291,672.899225223,672.899225723,887383.707601875,0.009652083976334325,-886710.80355011
19,887383.717964625,672.92062115,672.920621525,887383.728578291,0.010613291032427696,-886710.8026501205
20,887383.739327208,672.938409257,672.938409882,887383.74647125,0.007143416941516989,-886710.8044896595
21,887383.758491916,672.958305206,672.958305706,887383.766258041,0.007765625025172085,-886710.8040695225
22,887383.778789666,672.984156316,672.984156941,887383.796251541,0.017461249987945848,-886710.803363975
23,887383.808306166,673.010154924,673.010155424,887383.818578583,0.010271916984606833,-886710.8032872004
24,887383.829888666,673.184572291,673.184572666,887384.000394916,0.17050587499682024,-886710.7305693126
25,887384.012622541,673.210815395,673.210815894,887384.019242041,0.006619000996352042,-886710.8051166466
26,887384.029805208,673.492133398,673.492133898,887384.340980875,0.31117516698225245,-886710.6932593936
27,887384.351284708,673.799830753,673.799831378,887384.642138083,0.2908527499869251,-886710.69688033
28,887384.653681083,674.106476499,674.106476999,887384.916698583,0.263017000052173,-886710.678713084
29,887384.927902458,674.126901066,674.126901566,887384.935726166,0.007823208001468629,-886710.804912996
30,887384.946792083,674.15151207,674.15151257,887384.959843333,0.013050750018123836,-886710.801805388
31,887384.972420375,674.172103759,674.172104134,887384.981850666,0.009429916014710216,-886710.805031574
32,887384.993544166,674.191817336,674.191817711,887384.999879333,0.006334791981430499,-886710.8048942259
33,887385.012001083,674.216485714,674.216486214,887385.025988125,0.013986542009774894,-886710.8025086401
34,887385.03856275,674.238082763,674.238083263,887385.046301083,0.007737833078977019,-886710.8043489035
35,887385.058882208,674.260314427,674.260315052,887385.069300625,0.010417792048656338,-886710.803776677
36,887385.080270083,674.412674752,674.412675377,887385.221917416,0.14164670793002188,-886710.738418685
37,887385.233484166,674.433581562,674.433582187,887385.242228291,0.008743500021637374,-886710.8042743539
38,887385.254192958,674.457257704,674.457258204,887385.271686625,0.017493166964527518,-886710.8056818375
39,887385.284110375,674.483849803,674.483850303,887385.293323208,0.009212333014261276,-886710.8048667385
40,887385.304767583,674.504451742,674.504452617,887385.31326425,0.008495792025655646,-886710.804563737
41,887385.324927958,674.52480581,674.52480631,887385.334480541,0.009552082981940657,-886710.8048981895
42,887385.346654666,674.545798618,674.545799243,887385.354346375,0.007691083975487345,-886710.80470159
43,887385.367295916,674.570446746,674.570447121,887385.378272666,0.010976375054383425,-886710.8023373575
44,887385.390837833,674.590408944,674.590409444,887385.399313375,0.00847504195212423,-886710.8046664101
45,887385.412906,674.61320985,674.61321035,887385.422742,0.00983549992463395,-886710.8046138999
46,887385.435264958,674.635666261,674.635666886,887385.445320333,0.010054750052631789,-886710.8046260721
47,887385.456991625,674.656422823,674.656423323,887385.464689416,0.0076972909774895015,-886710.8044174475
48,887385.476198333,674.675486535,674.67548691,887385.484468166,0.008269458051586298,-886710.804846527
49,887385.496398291,674.696917462,674.696918087,887385.505287791,0.00888887505175262,-886710.8039252665
