sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,887359.097393583,648.61451593,648.614516805,887359.477013166,0.3796187079054789,-886710.672687007
1,887359.489692625,648.915671759,648.915672384,887359.763308333,0.27361508299259185,-886710.7108284074
2,887359.77486175,649.22298262,649.22298312,887360.039432875,0.26457062503709494,-886710.6841644425
3,887360.050387875,649.252512174,649.252512674,887360.061613458,0.011225083031831673,-886710.8034882424
4,887360.073920375,649.273030489,649.273031364,887360.081077,0.007155750040851672,-886710.804467761
5,887360.093642083,649.294349917,649.294350542,887360.103476916,0.009834207977519327,-886710.80420927
6,887360.115573833,649.31472611,649.314726735,887360.123102833,0.007528375053198033,-886710.8046119106
7,887360.135049,649.33625141,649.33625191,887360.147109583,0.012060082987090937,-886710.8048276316
8,887360.159481958,649.359345311,649.359345811,887360.167175208,0.007692749965030998,-886710.803983022
9,887360.179932666,649.387973254,649.387973879,887360.196246458,0.016313166973532134,-886710.8001159956
10,887360.207151416,649.406312102,649.406312602,887360.214120291,0.006968375066435328,-886710.8043235015
11,887360.225244833,649.429781373,649.429781998,887360.240133041,0.014887583010249728,-886710.8029072515
12,887360.252174416,649.450816431,649.450817055,887360.261189125,0.009014085037733821,-886710.8058650275
13,887360.273248416,649.474407074,649.474407574,887360.2821735,0.008924584024725846,-886710.803303634
14,887360.294159458,649.498711208,649.498711708,887360.307183958,0.013023999989172808,-886710.80196025
15,887360.31969625,649.521798734,649.521799484,887360.3325495,0.012852500023882385,-886710.804323766
16,887360.342918291,649.543460907,649.543461407,887360.352130666,0.009211875036498895,-886710.8040633216
17,887360.363635375,649.562676242,649.562676992,887360.373193625,0.009557499963420923,-886710.8057378831
18,887360.385312875,649.584329915,649.584330415,887360.392538083,0.007224707984505585,-886710.804595314
19,887360.404289291,649.605810216,649.605810716,887360.415429333,0.011139541984675816,-886710.804048846
20,887360.427909333,649.629307361,649.629307861,887360.526810291,0.09890045796430513,-886710.8480522011
21,887360.53923175,649.835703496,649.835703996,887360.667969125,0.12873687502371922,-886710.7678966915
22,887360.680598833,649.884765005,649.884765755,887360.693344916,0.012745332968052026,-886710.8022064945
23,887360.704871,649.906136307,649.906136932,887360.714128541,0.009256915921696418,-886710.8033631509
24,887360.726378666,649.926461001,649.926461376,887360.733823166,0.0074441249918209,-886710.8036397274
25,887360.746067083,649.945503088,649.945503463,887360.754791083,0.008723625072093455,-886710.8049258075
26,887360.766917833,649.969214605,649.969215105,887360.776787208,0.009868875033362201,-886710.8026376655
27,887360.787596833,649.988170444,649.988171069,887360.7961685,0.008571042014636987,-886710.80371191
28,887360.807403333,650.007051284,650.007051784,887360.817345666,0.009941832981098742,-886710.8053229656
29,887360.829936041,650.029547194,650.029547694,887360.838148375,0.008211834010694474,-886710.804494764
30,887360.850801291,650.052438099,650.052438599,887360.865768166,0.014966375081939987,-886710.8058463794
31,887360.877851375,650.078578079,650.078578579,887360.885833291,0.007981415958170146,-886710.803264004
32,887360.898502041,650.096690556,650.096691181,887360.903718791,0.005216124967091673,-886710.8044195476
33,887360.915907916,650.114391164,650.114391914,887360.922052708,0.0061440419580094385,-886710.804588773
34,887360.9345125,650.134467111,650.134467861,887360.942190166,0.007676916028117375,-886710.803883847
35,887360.954402041,650.166273506,650.166274256,887361.050592208,0.09618941700898631,-886710.8362232435
36,887361.063180666,650.468237697,650.468238197,887361.277654458,0.21447329200248078,-886710.7021796149
37,887361.287981375,650.490734983,650.490735358,887361.299134208,0.011152458001674859,-886710.8028226211
38,887361.309269291,650.51013619,650.51013669,887361.318366083,0.009096291967807701,-886710.8036812469
39,887361.329172625,650.528991905,650.528992655,887361.380204208,0.05103083298877209,-886710.8256961365
40,887361.392365541,650.592868941,650.592869441,887361.427758708,0.035392667054338744,-886710.8171929335
41,887361.4393545,650.6403241,650.6403246,887361.449102333,0.009747333013592652,-886710.8039040666
42,887361.460345375,650.661955148,650.661955773,887361.470182958,0.009836957940137836,-886710.803308706
43,887361.480610041,650.682549962,650.682550337,887361.581587083,0.10097666710794329,-886710.8485484126
44,887361.592802208,651.067285905,651.067286405,887361.875113625,0.28231091692953214,-886710.6666717615
45,887361.8870425,651.09506736,651.09506786,887361.902707458,0.015664458045876017,-886710.799807369
46,887361.914833458,651.123700803,651.123701178,887361.937792208,0.022958375021630673,-886710.8026118425
47,887361.949199625,651.148413555,651.14841393,887361.955618916,0.006418915904987443,-886710.803995528
48,887361.967871708,651.167992509,651.167993009,887361.976204291,0.008332083005484492,-886710.8040452405
49,887361.988831166,651.189241439,651.189241814,887361.996897958,0.008066417041163731,-886710.8036229354
