region,camera_center,causal_camera_coordinate,causal_raw_coordinate,input_host_seconds,visible_onset_seconds,visible_onset_ms,baseline_luma,final_luma,luma_amplitude
p_940_310,310,304.0,2495.490909090909,887365.86164876,887366.0663666667,204.71790665760636,93.87755102040816,86.63265306122449,-7.244897959183675
p_940_320,320,314.0,2614.2181818181816,887365.9905248643,887366.3153666666,324.841802357696,93.9795918367347,85.90816326530611,-8.071428571428584
p_940_330,330,324.0,2732.9454545454546,887366.1497983064,887366.3323666666,182.56836023647338,94.3061224489796,87.67346938775509,-6.632653061224502
p_940_340,340,334.0,2851.672727272727,887366.2626875746,887366.4153666666,152.67909201793373,94.51020408163265,88.96938775510205,-5.540816326530603
p_940_350,350,344.0,2970.4,887366.3899376122,887366.5483666667,158.42905442696065,94.65306122448979,88.29591836734693,-6.357142857142861
p_940_370,370,364.0,3207.8545454545456,887366.684089003,887366.8323666666,148.27766362577677,94.71428571428571,88.63265306122449,-6.08163265306122
p_940_380,380,374.0,3326.581818181818,887366.7938855506,887366.8823666667,88.48111610859632,94.55102040816327,88.72448979591837,-5.826530612244895
p_940_390,390,384.0,3445.3090909090906,887366.9054406437,887366.9993666667,93.9260229934007,95.6734693877551,89.85714285714286,-5.816326530612244
p_940_400,400,394.0,3564.0363636363636,887367.0317553058,887367.1323666667,100.61136086005718,95.46938775510205,89.63265306122449,-5.83673469387756
p_940_410,410,404.0,3682.7636363636366,887367.1454813227,887367.2663666666,120.88534398935735,95.20408163265306,89.59183673469387,-5.612244897959187
p_940_420,420,414.0,3801.490909090909,887367.2644793683,887367.3653666667,100.88729835115373,96.10204081632654,88.4591836734694,-7.642857142857139
p_940_430,430,424.0,3920.2181818181816,887367.4007066223,887367.5163666666,115.66004436463118,95.59183673469387,88.25510204081633,-7.3367346938775455
p_940_440,440,434.0,4038.9454545454546,887367.5491381221,887367.6493666667,100.2285445574671,95.6938775510204,89.48979591836735,-6.2040816326530575
p_940_450,450,444.0,4157.672727272728,887367.7066267498,887367.8153666666,108.73991681728512,96.12244897959184,89.77551020408163,-6.3469387755102105
p_940_460,460,454.0,4276.4,887367.846591796,887367.9653666667,118.7748706433922,95.95918367346938,90.0408163265306,-5.91836734693878
p_940_470,470,464.0,4395.127272727273,887367.9897059002,887368.1163666666,126.66076642926782,95.77551020408163,89.4591836734694,-6.31632653061223
p_940_480,480,474.0,4513.854545454546,887368.149748623,887368.2493666667,99.6180436341092,96.22448979591837,89.53061224489795,-6.693877551020421
p_940_490,490,484.0,4632.581818181818,887368.2739511095,887368.3823666667,108.4155571879819,96.38775510204081,89.65306122448979,-6.734693877551024
p_940_500,500,494.0,4751.3090909090915,887368.4391515512,887368.5483666667,109.21511542983353,96.36734693877551,89.61224489795919,-6.755102040816325
p_940_510,510,504.0,4870.036363636364,887368.5905899231,887368.6833666667,92.77674357872456,96.28571428571429,89.9795918367347,-6.306122448979593
p_940_520,520,514.0,4988.763636363636,887368.7355153837,887368.8163666667,80.851283040829,96.26530612244898,88.93877551020408,-7.326530612244895
p_940_530,530,524.0,5107.49090909091,887368.9073342182,887368.9823666667,75.03244851250201,96.61224489795919,88.23469387755102,-8.377551020408163
p_940_540,540,534.0,5226.218181818182,887369.0489842945,887369.1483666666,99.38237210735679,96.59183673469387,88.13265306122449,-8.459183673469383
p_940_550,550,544.0,5344.945454545455,887369.2246936484,887369.2663666666,41.67301824782044,97.26530612244898,87.62244897959184,-9.642857142857139
p_940_560,560,554.0,5463.672727272728,887369.3741524925,887369.4483666667,74.21417417936027,97.3061224489796,86.71428571428571,-10.591836734693885
p_940_570,570,564.0,5582.4,887369.5451240353,887369.6153666667,70.2426313655451,97.24489795918367,91.01020408163265,-6.234693877551024
p_940_580,580,574.0,5701.127272727273,887369.7030283507,887369.7823666667,79.33831599075347,97.20408163265306,90.08163265306123,-7.122448979591823
p_940_590,590,584.0,5819.854545454546,887369.8375960863,887369.9153333333,77.73724698927253,97.44897959183673,89.71428571428572,-7.73469387755101
p_940_600,600,594.0,5938.581818181818,887369.9513677619,887370.0493333334,97.96557144727558,97.14285714285714,87.0204081632653,-10.122448979591837
p_940_610,610,604.0,6057.3090909090915,887370.1464043711,887370.1993333333,52.928962162695825,97.24489795918367,86.5204081632653,-10.724489795918373
p_940_620,620,614.0,6176.036363636364,887370.3814363615,887370.4323666666,50.93030515126884,97.42857142857143,87.74489795918367,-9.683673469387756
p_940_630,630,624.0,6294.763636363636,887370.6089015572,887370.6823333333,73.43177613802254,97.34693877551021,89.4591836734694,-7.887755102040813
