sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,886976.820279,266.141151855,266.14115248,886976.954142166,0.13386254097457595,-886710.7460584154
1,886976.967929708,266.169606547,266.169607047,886976.977248416,0.009318208092906843,-886710.802982265
2,886976.990670416,266.193672114,266.193672989,886977.000130625,0.009459333937513748,-886710.801727969
3,886977.010950958,266.211111869,266.211112119,886977.018038125,0.007086917003164217,-886710.8033825476
4,886977.0295085,266.230331698,266.230331948,886977.037359041,0.007850291034685597,-886710.8031019475
5,886977.052247875,266.255044371,266.255044621,886977.073300208,0.021052082944208905,-886710.8077295455
6,886977.08603,266.286337483,266.286337858,886977.093308083,0.007277708008700756,-886710.803331371
7,886977.106267291,266.307225265,266.30722564,886977.113729083,0.007461416974479107,-886710.8027727345
8,886977.127651,266.329457759,266.329458009,886977.13560925,0.00795800000383906,-886710.802172241
9,886977.149295708,266.349630311,266.349630561,886977.156004583,0.006708624949226305,-886710.8030197095
10,886977.169262958,266.375814317,266.375815067,886977.183529125,0.014265416952412124,-886710.8005813495
11,886977.198418416,266.754969802,266.754970302,886977.568029333,0.36961041705598063,-886710.6282538224
12,886977.58114675,266.78266389,266.782664265,886977.588600375,0.00745324997399166,-886710.802209485
13,886977.602709791,266.804075157,266.804075407,886977.611552416,0.008842374956714139,-886710.8030558215
14,886977.623340333,266.824410205,266.82441058,886977.630996583,0.007655875032583026,-886710.8027580655
15,886977.644542875,266.845470107,266.845470482,886977.658581958,0.014038708034718184,-886710.806092122
16,886977.673413833,266.875571627,266.875572002,886977.688232708,0.014818500002661494,-886710.805251456
17,886977.700806375,266.902053376,266.902053751,886977.716344333,0.015537583010143408,-886710.8065217906
18,886977.730834833,267.062387448,267.062387823,886977.870475666,0.13964045801833436,-886710.738267614
19,886977.883307625,267.084358574,267.084358824,886977.891068291,0.00776041607798561,-886710.8028292591
20,886977.902963083,267.103367285,267.103367535,886977.91058225,0.007618916979538426,-886710.8034052565
21,886977.926315,267.126974489,267.126974739,886977.934050208,0.007734957909747209,-886710.80320799
22,886977.948907,267.148977114,267.148977489,886977.961090958,0.012183582966031281,-886710.8060216776
23,886977.973482916,267.176976944,267.176977444,886977.984031041,0.010547625021160911,-886710.8017797845
24,886977.995845625,267.196626762,267.196627137,886978.003239333,0.00739333310332313,-886710.8029155295
25,886978.01733675,267.218661511,267.218661761,886978.025403833,0.008066832962924764,-886710.8027086556
26,886978.040092208,267.240481391,267.240482016,886978.047017166,0.006924333084725731,-886710.8030729835
27,886978.061218708,267.261725538,267.261726163,886978.075226416,0.01400708294136166,-886710.8064967116
28,886978.090348916,267.293396389,267.293397014,886978.100080791,0.009731250034064942,-886710.801818152
29,886978.112292625,267.312707841,267.312708466,886978.119016208,0.006722957977444821,-886710.802946263
30,886978.12967525,267.33032584,267.330326465,886978.137642041,0.007966165930383795,-886710.803332493
31,886978.151840125,267.352326216,267.352326466,886978.159615541,0.007775166015619561,-886710.8034014921
32,886978.171399375,267.376912393,267.376913018,886978.189685041,0.018285041010358327,-886710.8036295024
33,886978.204054125,267.40586807,267.405868945,886978.213853208,0.009798207996311703,-886710.803085159
34,886978.227724875,267.428506928,267.428507178,886978.235298125,0.007572999982642159,-886710.8030044469
35,886978.248661666,267.676402139,267.676402514,886978.52833125,0.27966920900792047,-886710.7120941314
36,886978.541436458,267.983947032,267.983947282,886978.939589166,0.39815245795955434,-886710.756565655
37,886978.954468416,268.59856808,268.59856858,886979.41814475,0.46367583389309175,-886710.587738253
38,886979.430981375,268.633441465,268.633441965,886979.44009375,0.009111874973484646,-886710.8020958476
39,886979.454780416,268.659134736,268.659134986,886979.465102583,0.010321917072417364,-886710.8008066386
40,886979.478356666,268.679668403,268.679668778,886979.485500833,0.007143791971543578,-886710.802260159
41,886979.49969425,268.702528004,268.702528379,886979.514057291,0.014362666031161098,-886710.8043475789
42,886979.52579525,268.726703942,268.726704317,886979.533317,0.007521375056171564,-886710.8028519955
43,886979.545051458,268.745655654,268.745656029,886979.551612083,0.006560250042809912,-886710.8026759289
44,886979.566333875,268.768798247,268.768798997,886979.575435791,0.009101166104585445,-886710.802086211
45,886979.590086291,268.789730153,268.789730778,886979.597047583,0.0069606670051598485,-886710.8038364714
46,886979.611833916,268.814131835,268.81413221,886979.632070625,0.0202363339222984,-886710.807820248
47,886979.645888583,268.84633342,268.846333795,886979.655132625,0.009243666983024923,-886710.8041769965
48,886979.665328791,268.869032776,268.869033276,886979.676426083,0.011096791950137685,-886710.8018444111
49,886979.691670166,268.892686729,268.892687104,886979.699211333,0.007540791967699079,-886710.802753833
