sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,886941.469583666,230.811536366,230.811536866,886941.635922916,0.16633875004862375,-886710.7412166749
1,886941.648229041,230.849883777,230.849884152,886941.656149666,0.007920250037528831,-886710.8023053891
2,886941.670732583,230.871741781,230.871742031,886941.6778395,0.0071066669789559,-886710.8025441356
3,886941.691998458,230.898124282,230.898124657,886941.70917175,0.01717291699890211,-886710.8024606345
4,886941.721165166,230.922777332,230.922777582,886941.729783541,0.00861812505362991,-886710.8026968965
5,886941.744484958,230.946069796,230.946070046,886941.751803541,0.0073183329678556674,-886710.8020743285
6,886941.766882833,230.968248041,230.968248291,886941.774860916,0.007977832983755206,-886710.8026237085
7,886941.787924875,230.990041672,230.990041922,886941.79584625,0.007921124985017514,-886710.8018437655
8,886941.808274541,231.008719142,231.008719517,886941.822269958,0.01399504192806944,-886710.80655292
9,886941.836244083,231.038196055,231.038196305,886941.853163625,0.0169192919875627,-886710.806507674
10,886941.865361875,231.067222981,231.067223356,886941.873885375,0.008523124942371396,-886710.8024004565
11,886941.887404708,231.088706496,231.088706746,886941.894814708,0.007409750078352317,-886710.802403087
12,886941.909737458,231.110672247,231.110672622,886941.924324625,0.014586792068371324,-886710.806358607
13,886941.937334958,231.139206187,231.139206562,886941.944789541,0.007454207955703396,-886710.801855875
14,886941.956759708,231.160175967,231.160176217,886941.96660075,0.009840791988693809,-886710.801504137
15,886941.977984,231.178696191,231.178696441,886941.986850041,0.008865790967405474,-886710.8037207045
16,886941.999131458,231.200695566,231.200695941,886942.007164083,0.008032249959029514,-886710.802452017
17,886942.019821625,231.222824813,231.222825188,886942.034221041,0.01439904104620382,-886710.8041963326
18,886942.050356875,231.252178729,231.252179104,886942.059095041,0.008737790954143065,-886710.8025470416
19,886942.07437325,231.425372937,231.425373312,886942.23942325,0.16504962495230302,-886710.7315251254
20,886942.250595958,231.451830185,231.451830685,886942.258033541,0.007437083059073757,-886710.8024843144
21,886942.270240666,231.471385755,231.47138613,886942.277564666,0.007323625005597023,-886710.8025167235
22,886942.290952166,231.494240856,231.494241231,886942.30194475,0.010992209051579493,-886710.8022074145
23,886942.315974875,231.518505042,231.518505417,886942.331292625,0.015317375046947745,-886710.8051285206
24,886942.344546666,231.547864209,231.547864459,886942.3595795,0.015032584024169182,-886710.804198749
25,886942.373668333,231.575851164,231.575851539,886942.381914458,0.008245749954880921,-886710.801940044
26,886942.396741125,231.599346622,231.599346872,886942.407877541,0.011136165996589398,-886710.802962586
27,886942.420579208,231.623796428,231.623796678,886942.429478875,0.008899417067453896,-886710.8012324885
28,886942.444495791,231.645886801,231.645887051,886942.451877166,0.0073811250641426795,-886710.8022995526
29,886942.463709458,231.664714516,231.664714891,886942.475849916,0.012140082984075207,-886710.8050649834
30,886942.489124458,231.691198264,231.691198514,886942.497629916,0.008505207895808553,-886710.802178798
31,886942.511165416,231.713139516,231.713139891,886942.5184115,0.00724570904563393,-886710.8016487545
32,886942.532830541,231.741281967,231.741282342,886942.547936291,0.015105374946074335,-886710.7991012614
33,886942.563124125,231.764686927,231.764687177,886942.570909083,0.007784707997501528,-886710.802329552
34,886942.584178333,231.785681206,231.785681581,886942.684264458,0.10008574996311381,-886710.848540002
35,886942.699265583,232.041788809,232.041789184,886942.892994458,0.1937285000195743,-886710.754341024
36,886942.905646166,232.354403558,232.354403933,886943.2090965,0.303449959002279,-886710.7029675874
37,886943.221144291,232.656467856,232.656468231,886943.465003208,0.24385854203424628,-886710.686605706
38,886943.478963333,232.680144934,232.680145309,886943.48518475,0.006221042104812113,-886710.80192892
39,886943.4977565,232.699730128,232.699730503,886943.508079333,0.01032245796807274,-886710.803187601
40,886943.519754208,232.722165741,232.722166116,886943.528425083,0.00867049998771563,-886710.801923717
41,886943.54229225,232.742676909,232.742677159,886943.548443833,0.006151333045721685,-886710.8026910075
42,886943.562995416,232.765345515,232.765345765,886943.576621541,0.013625875059091186,-886710.8044628385
43,886943.590798625,232.791682142,232.791682517,886943.597821666,0.00702266602016266,-886710.8026278161
44,886943.612027541,232.813841513,232.813841888,886943.619822833,0.007794916952775566,-886710.8020834865
45,886943.633872458,232.834710546,232.83471092,886943.640893791,0.00702095897455024,-886710.8026723915
46,886943.654661583,232.966520178,232.966520803,886943.775926666,0.12126445796931762,-886710.748773634
47,886943.789439125,232.990963609,232.990963859,886943.796795,0.0073556249863884204,-886710.8021533284
48,886943.808882625,233.01116666,233.011167035,886943.816964458,0.008081458017045406,-886710.801756694
49,886943.8287425,233.029684759,233.029685134,886943.835816416,0.007073540912756471,-886710.8025945115
