region,camera_center,causal_camera_coordinate,causal_raw_coordinate,input_host_seconds,visible_onset_seconds,visible_onset_ms,baseline_luma,final_luma,luma_amplitude
p_940_310,310,304.0,2495.490909090909,886947.7641959097,886947.9938666667,229.67075696215034,107.51020408163265,100.70408163265306,-6.806122448979593
p_940_320,320,314.0,2614.2181818181816,886947.8930884167,886948.2438666667,350.77825002372265,107.6734693877551,99.96938775510205,-7.7040816326530575
p_940_330,330,324.0,2732.9454545454546,886948.052374627,886948.2608666667,208.4920397028327,107.20408163265306,101.19387755102042,-6.0102040816326365
p_940_350,350,344.0,2970.4,886948.2924484925,886948.4278666667,135.41817420627922,108.06122448979592,102.83673469387756,-5.224489795918359
p_940_380,380,374.0,3326.581818181818,886948.6964646513,886948.8448333333,148.36868201382458,108.04081632653062,101.09183673469389,-6.948979591836732
p_940_390,390,384.0,3445.3090909090906,886948.8080408805,886948.9278333334,119.79245289694518,108.55102040816327,102.53061224489795,-6.020408163265316
p_940_400,400,394.0,3564.0363636363636,886948.9343321741,886949.0608333333,126.50115916039795,108.46938775510205,102.33673469387756,-6.132653061224488
p_940_410,410,404.0,3682.7636363636366,886949.0480850484,886949.1608333334,112.74828494060785,108.42857142857143,101.95918367346938,-6.469387755102048
p_940_420,420,414.0,3801.490909090909,886949.1670423364,886949.2938333333,126.79099687375128,108.93877551020408,101.85714285714286,-7.08163265306122
p_940_430,430,424.0,3920.2181818181816,886949.3032688075,886949.4438333333,140.56452584918588,108.79591836734694,101.39795918367346,-7.397959183673478
p_940_440,440,434.0,4038.9454545454546,886949.4517240919,886949.5768333334,125.10924146045,108.81632653061224,103.13265306122449,-5.683673469387756
p_940_450,450,444.0,4157.672727272728,886949.6091997742,886949.7278333333,118.63355909008533,108.91836734693878,103.61224489795919,-5.306122448979593
p_940_460,460,454.0,4276.4,886949.7491645358,886949.8278333333,78.66879750508815,109.0,103.8265306122449,-5.173469387755105
p_940_470,470,464.0,4395.127272727273,886949.8922810926,886949.9938333334,101.55224078334868,109.16326530612245,103.14285714285714,-6.020408163265316
p_940_480,480,474.0,4513.854545454546,886950.0522968407,886950.1438333333,91.53649257496,109.28571428571429,102.96938775510205,-6.316326530612244
p_940_490,490,484.0,4632.581818181818,886950.1765485698,886950.2938333333,117.28476348798722,109.26530612244898,102.38775510204081,-6.877551020408163
p_940_500,500,494.0,4751.3090909090915,886950.3417522839,886950.4278333334,86.08104952145368,109.61224489795919,102.90816326530611,-6.704081632653072
p_940_510,510,504.0,4870.036363636364,886950.4931716386,886950.6108333333,117.6616947632283,109.28571428571429,102.66326530612244,-6.6224489795918515
p_940_520,520,514.0,4988.763636363636,886950.6380862817,886950.6948333334,56.74705165438354,109.63265306122449,102.53061224489795,-7.102040816326536
p_940_530,530,524.0,5107.49090909091,886950.8099125383,886950.9108333334,100.9207951137796,109.34693877551021,101.03061224489795,-8.316326530612258
p_940_540,540,534.0,5226.218181818182,886950.951553004,886951.0278333334,76.28032937645912,110.08163265306122,101.3265306122449,-8.755102040816325
p_940_550,550,544.0,5344.945454545455,886951.127264012,886951.2278333333,100.569321308285,110.0,100.74489795918367,-9.255102040816325
p_940_560,560,554.0,5463.672727272728,886951.2767392107,886951.3618333334,85.09412268176675,110.3061224489796,101.18367346938776,-9.122448979591837
p_940_570,570,564.0,5582.4,886951.447699335,886951.5118333333,64.1339982394129,110.12244897959184,104.04081632653062,-6.08163265306122
p_940_580,580,574.0,5701.127272727273,886951.6055928674,886951.6608333334,55.240466026589274,109.87755102040816,104.03061224489795,-5.8469387755102105
p_940_590,590,584.0,5819.854545454546,886951.7402300491,886951.8108333333,70.60328416991979,110.12244897959184,103.56122448979592,-6.561224489795919
p_940_600,600,594.0,5938.581818181818,886951.8539254362,886951.9608333333,106.9078971631825,109.95918367346938,100.42857142857143,-9.530612244897952
p_940_610,610,604.0,6057.3090909090915,886952.0490071748,886952.1618333333,112.82615852542222,109.73469387755102,99.0204081632653,-10.714285714285722
p_940_620,620,614.0,6176.036363636364,886952.2840228797,886952.3438333333,59.810453676618636,110.06122448979592,99.76530612244898,-10.295918367346943
p_940_630,630,624.0,6294.763636363636,886952.5114858439,886952.5768333334,65.34748943522573,109.91836734693878,102.66326530612244,-7.25510204081634
