sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,882949.053523791,87397.240944024,87397.240944524,882949.087753416,0.034229125012643635,-795551.8296943295
1,882949.089449083,87397.247351716,87397.247352091,882949.095200916,0.005751458083977923,-795551.8449730959
2,882949.096982208,87397.25731425,87397.257314625,882949.104412666,0.007430083089275286,-795551.8433829995
3,882949.105967375,87397.264369561,87397.264370061,882949.110401791,0.004433916066773236,-795551.8438147721
4,882949.112026125,87397.270367257,87397.270367632,882949.1161065,0.004080000086105429,-795551.843698868
5,882949.117669041,87397.276360578,87397.276360953,882949.122294125,0.004624709006748162,-795551.8436208175
6,882949.1238785,87397.282367523,87397.282368023,882949.128432625,0.004553625010885298,-795551.8437877895
7,882949.13012775,87397.288348219,87397.288348469,882949.136771541,0.006643540982622653,-795551.8451013016
8,882949.13848525,87397.298367128,87397.298367878,882949.144540166,0.006054166064132005,-795551.8431452049
9,882949.146123916,87397.304344949,87397.304345324,882949.150190291,0.0040659999795025215,-795551.8438119671
10,882949.151634375,87397.310372644,87397.310373019,882949.157485875,0.00585112496628426,-795551.8441872934
11,882949.159257625,87397.317340456,87397.317340831,882949.163933958,0.004675958043662831,-795551.844255148
12,882949.17043825,87397.329377596,87397.329377971,882949.177799583,0.0073609580140328035,-795551.8447411329
13,882949.179437625,87397.337350024,87397.337350274,882949.183209958,0.003772083029616624,-795551.8439736424
14,882949.185016041,87397.343385344,87397.343385719,882949.189371708,0.004355291923275217,-795551.8438083429
15,882949.190681208,87397.353398628,87397.353399003,882949.199451083,0.00876949992380105,-795551.84166733
16,882949.201085666,87397.359370074,87397.359370449,882949.2061665,0.0050804590282496065,-795551.8442558215
17,882949.20780725,87397.366340386,87397.366340761,882949.212666416,0.004858790984144434,-795551.8438962596
18,882949.214345958,87397.372340206,87397.372340456,882949.218424125,0.004077917023096234,-795551.8440447105
19,882949.219917833,87397.378357902,87397.378358402,882949.224233583,0.004315249971114099,-795551.843717556
