sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,882835.735778583,87284.194290541,87284.194291291,882836.104293166,0.3685138329747133,-795551.7257449585
1,882836.1064115,87284.501709626,87284.501710376,882836.350103625,0.2436913749552332,-795551.7265475616
2,882836.35166775,87284.511059541,87284.511060041,882836.357509,0.005840749945491552,-795551.843528584
3,882836.3590895,87284.517966228,87284.517966728,882836.364628333,0.005538332974538207,-795551.8438924386
4,882836.366218958,87284.524993915,87284.52499429,882836.371602083,0.005382749921409413,-795551.843916418
5,882836.373189041,87284.532318223,87284.532318723,882836.379562833,0.006373291966156103,-795551.844057464
6,882836.380934208,87284.540683772,87284.540684397,882836.387706833,0.006771999906050041,-795551.843636436
7,882836.390186708,87284.549280694,87284.549281319,882836.396667166,0.006479833071352914,-795551.8441459305
8,882836.398433125,87284.557683368,87284.557683743,882836.404668916,0.006235416018171236,-795551.843867465
9,882836.406269541,87284.565611296,87284.565611671,882836.41283175,0.006561833986779675,-795551.8439391621
10,882836.414584,87284.577702311,87284.577702811,882836.424288041,0.00970354094170034,-795551.8417334595
11,882836.425949833,87284.585629864,87284.585630239,882836.432271541,0.006321332970401272,-795551.8434806354
12,882836.433861833,87284.592320804,87284.592321179,882836.439477708,0.005615500005660579,-795551.844348779
13,882836.441050166,87284.600314356,87284.600314731,882836.447577708,0.0065271670173387975,-795551.8439993935
14,882836.449150166,87284.608647155,87284.608647655,882836.455276041,0.0061253749299794436,-795551.8435656985
15,882836.456734875,87284.615628717,87284.615629342,882836.462171458,0.005435958068119362,-795551.843824137
16,882836.463754208,87284.622681903,87284.622682403,882836.469004083,0.005249375011771917,-795551.8436969925
17,882836.470669625,87284.629576465,87284.629576965,882836.476244541,0.005574416019953787,-795551.8438803679
18,882836.478035916,87284.637273021,87284.637273521,882836.484392625,0.006356209050863981,-795551.8439409995
19,882836.486430041,87284.650512275,87284.650512775,882836.498062291,0.011631749919615686,-795551.841733641
