...panel tft: C0F
...panel fpl: AAB0BV
Loading waveforms from: /usr/share/remarkable/GAL3_AAB0BV_ID3511_AC118TC1F2_AD1004-LHA_TC.eink
pmic: setting rails to 6.0, 12.0, 24.0, -6.0, -12.0, -24.0
pmic: setting PDD duration to 30000ms
temperature_hwmon: found temperature path: /sys/class/hwmon/hwmon9/temp1_input
update,direction,size,repetition,before_submit_us,after_submit_us,after_drain_us,accepted,drained
marker-black,marker,768x768,0,87302385634,87302413822,87302766539,1,1
marker-paper,marker,768x768,0,87303272946,87303281954,87303640125,1,1
color3-black,darken,64x64,0,87304140473,87304141705,87304743213,1,1
color3-paper,lighten,64x64,0,87305243458,87305244922,87305849524,1,1
color3-black,darken,64x64,1,87306349824,87306350720,87306955758,1,1
color3-paper,lighten,64x64,1,87307456094,87307457031,87308061894,1,1
color3-black,darken,256x256,0,87308562828,87308567746,87309179906,1,1
color3-paper,lighten,256x256,0,87309680815,87309686591,87310297903,1,1
color3-black,darken,256x256,1,87310798802,87310803610,87311415837,1,1
color3-paper,lighten,256x256,1,87311916720,87311922387,87312533777,1,1
color3-black,darken,768x768,0,87313040141,87313074969,87313687028,1,1
color3-paper,lighten,768x768,0,87314193358,87314237796,87314852151,1,1
color3-black,darken,768x768,1,87315358410,87315391292,87316005501,1,1
color3-paper,lighten,768x768,1,87316511838,87316553126,87317170472,1,1
native-live-black,darken,64x64,0,87317670734,87317671706,87318276513,1,1
native-live-paper,lighten,64x64,0,87318776793,87318777798,87319382586,1,1
native-live-black,darken,64x64,1,87319882844,87319883646,87320488910,1,1
native-live-paper,lighten,64x64,1,87320989220,87320990363,87321595084,1,1
native-live-black,darken,256x256,0,87322095980,87322100825,87322716200,1,1
native-live-paper,lighten,256x256,0,87323217179,87323222936,87323830891,1,1
native-live-black,darken,256x256,1,87324331760,87324336468,87324948873,1,1
native-live-paper,lighten,256x256,1,87325449766,87325455445,87326725942,1,1
native-live-black,darken,768x768,0,87327232328,87327265643,87327879167,1,1
native-live-paper,lighten,768x768,0,87328385440,87328427569,87329703244,1,1
native-live-black,darken,768x768,1,87330209506,87330242450,87330860140,1,1
native-live-paper,lighten,768x768,1,87331366524,87331408223,87332715795,1,1
native-live-red,darken,64x64,0,87333216103,87333216908,87333821870,1,1
native-live-paper,lighten,64x64,0,87334322175,87334323554,87334932119,1,1
native-live-red,darken,64x64,1,87335432464,87335433419,87336034231,1,1
native-live-paper,lighten,64x64,1,87336534528,87336535411,87337140506,1,1
native-live-red,darken,256x256,0,87337641402,87337646282,87338258512,1,1
native-live-paper,lighten,256x256,0,87338759401,87338765158,87339376367,1,1
native-live-red,darken,256x256,1,87339877362,87339882263,87340494298,1,1
native-live-paper,lighten,256x256,1,87340995202,87341000815,87341616128,1,1
native-live-red,darken,768x768,0,87342122504,87342158448,87342765625,1,1
native-live-paper,lighten,768x768,0,87343271915,87343315726,87343932163,1,1
native-live-red,darken,768x768,1,87344438615,87344478713,87345083961,1,1
native-live-paper,lighten,768x768,1,87345590257,87345633912,87346252144,1,1
shutdown: waiting for updates to complete...
shutdown: waiting for display to finish...
shutdown: threads stopped
shutdown: shutting down...
takeover: app exited (0), restoring xochitl
