event,family,target,direction,size,repetition,software_submit_ms,queue_wait_ms,queue_total_ms,visible_onset_ms,first_90_ms,settled_ms,visible_motion_ms,settled_minus_drain_ms,baseline_luma,final_luma,luma_amplitude,accepted,drained
0,marker,black,marker,768,0,28.18791102617979,352.7158866636455,380.9037976898253,66.88368890900165,105.61898397281766,109.47439563460648,42.59070672560483,-271.4294020552188,105.2625,45.4225,-59.84,1,1
1,marker,paper,marker,768,0,9.007971617393196,358.1698694033548,367.177841020748,60.888586565852165,135.93880750704557,140.16519638244063,79.27660981658846,-227.0126446383074,45.345,103.8625,58.5175,1,1
2,color3,black,darken,64,0,1.2319961097091436,601.5061014331877,602.7380975428969,28.296679724007845,55.36528176162392,55.64093485008925,27.344255126081407,-547.0971626928076,103.825,72.62,-31.205,1,1
3,color3,paper,lighten,64,0,1.4639953151345253,604.6000915812328,606.0640868963674,73.15418997313827,151.9000413827598,152.62608299963176,79.47189302649349,-453.4380038967356,72.64250000000001,103.7475,31.10499999999999,1,1
4,color3,black,darken,64,1,0.8959971601143479,605.0360902445391,605.9320874046534,32.64100442174822,60.85444998461753,63.26357531361282,30.622570891864598,-542.6685120910406,103.935,72.465,-31.47,1,1
5,color3,paper,lighten,64,1,0.936996890231967,604.8610908910632,605.7980877812952,75.18701441586018,153.08758441824466,157.99706720281392,82.81005278695375,-447.80102057848126,72.73875,103.67,30.931250000000006,1,1
6,color3,black,darken,256,0,4.917984479106963,612.1580677572638,617.0760522363707,45.60682247392833,74.73948737606406,83.2665606867522,37.65973821282387,-533.8094915496185,103.9225,45.615,-58.3075,1,1
7,color3,paper,lighten,256,0,5.775981699116528,611.3100704969838,617.0860521961004,84.27804906386882,133.29412939492613,148.24975631199777,63.97170724812895,-468.8362958841026,45.5375,103.7225,58.184999999999995,1,1
8,color3,black,darken,256,1,4.807984922081232,612.2250674525276,617.0330523746088,49.179914058186114,74.8484949581325,81.2662853859365,32.086371327750385,-535.7667669886723,104.0975,45.44,-58.6575,1,1
9,color3,paper,lighten,256,1,5.666982149705291,611.3880701595917,617.055052309297,82.71292026620358,128.54671198874712,129.35181404463947,46.638893778435886,-487.70323826465756,45.45,103.67,58.22,1,1
10,color3,black,darken,768,0,34.827890107408166,612.0570680359378,646.884958143346,75.5509432638064,102.38227969966829,105.93436018098146,30.383416917175055,-540.9505979623646,104.08875,45.36,-58.728750000000005,1,1
11,color3,paper,lighten,768,0,44.43785978946835,614.3530608387664,658.7909206282347,123.01196716725826,171.32600652985275,185.7210003072396,62.70903313998133,-473.06992032099515,45.28875,103.81,58.52125,1,1
12,color3,black,darken,768,1,32.881896127946675,614.2070612404495,647.0889573683962,73.69746488984674,102.28311049286276,104.63934449944645,30.94187960959971,-542.4496128689498,104.20125,45.3075,-58.893750000000004,1,1
13,color3,paper,lighten,768,1,41.28786956425756,617.3440513666719,658.6319209309295,121.023018960841,169.01157598476857,184.21498511452228,63.19196615368128,-474.4169358164072,45.29625,103.83,58.53375,1,1
14,native-live,black,darken,64,0,0.9719968074932694,604.8050910467282,605.7770878542215,30.95941455103457,57.57638218346983,58.322643279097974,27.363228728063405,-547.4544445751235,104.265,72.84,-31.424999999999997,1,1
15,native-live,paper,lighten,64,0,1.0049969423562288,604.7860909020528,605.791087844409,72.68373284023255,135.70450735278428,136.26713468693197,63.58340184669942,-469.5239531574771,73.02125000000001,104.2275,31.206249999999997,1,1
16,native-live,black,darken,64,1,0.8019974920898676,605.2620894042775,606.0640868963674,33.02796185016632,58.8421142892912,63.18629253655672,30.1583306863904,-542.8777943598107,104.395,72.9775,-31.41749999999999,1,1
17,native-live,paper,lighten,64,1,1.1429963633418083,604.7190913232043,605.8620876865461,75.54780622012913,151.2902076356113,157.81378489919007,82.26597867906094,-448.0483027873561,73.0875,103.9475,30.86,1,1
18,native-live,black,darken,256,0,4.8449847381561995,615.3730576625094,620.2180424006656,45.18762312363833,72.5633550900966,84.05727846547961,38.86965534184128,-536.160763935186,104.18625,45.6725,-58.51375,1,1
19,native-live,paper,lighten,256,0,5.756981787271798,607.953080907464,613.7100626947358,80.0625131232664,126.61881803069264,128.86181741487235,48.79930429160595,-484.8482452798635,45.63,103.5925,57.9625,1,1
20,native-live,black,darken,256,1,4.70798509195447,612.4030669452623,617.1110520372167,49.711835803464055,73.49317579064518,81.28433569800109,31.57249989453703,-535.8267163392156,104.1975,45.8025,-58.395,1,1
21,native-live,paper,lighten,256,1,5.678982008248568,1270.4929896863177,1276.1719716945663,358.34398574661463,491.0677680745721,496.24853127170354,137.9045455250889,-779.9234404228628,45.88,101.4125,55.53249999999999,1,1
22,native-live,black,darken,768,0,33.31489488482475,613.5220633586869,646.8369582435116,73.74479086138308,107.45497059542686,114.6921580657363,40.94736720435321,-532.1448001777753,101.76,45.1425,-56.61750000000001,1,1
23,native-live,paper,lighten,768,0,42.12886712048203,1275.67097323481,1317.799840355292,416.4788818452507,530.3161543561146,544.5837979204953,128.10491607524455,-773.2160424347967,45.2575,101.53,56.2725,1,1
24,native-live,black,darken,768,1,32.943896017968655,617.688050144352,650.6319461623207,74.17482766322792,106.21133330278099,119.49022219050676,45.31539452727884,-531.1417239718139,101.76125,44.97,-56.791250000000005,1,1
25,native-live,paper,lighten,768,1,41.69886838644743,1307.5678726891056,1349.266741075553,451.707374304533,561.1014326568693,563.475874485448,111.768500180915,-785.790866590105,44.955,101.7375,56.7825,1,1
26,native-live,red,darken,64,0,0.8049975149333477,604.9600903643295,605.7650878792629,33.3083828445524,73.87856906279922,530.9027126058936,497.5943297613412,-74.86237527336925,101.93,77.905,-24.025000000000006,1,1
27,native-live,paper,lighten,64,0,1.3789955992251635,608.563079033047,609.9420746322721,230.26782053057104,402.78620400931686,406.83420398272574,176.5663834521547,-203.10787064954638,78.1925,102.85,24.6575,1,1
