family,target,size,sample_count,median_software_submit_ms,median_queue_wait_ms,median_queue_total_ms,median_visible_onset_ms,median_first_90_ms,median_settled_ms,median_visible_motion_ms,median_settled_minus_drain_ms,median_baseline_luma,median_final_luma,median_luma_amplitude
marker,black,768,1,28.18791102617979,352.7158866636455,380.9037976898253,66.88368890900165,105.61898397281766,109.47439563460648,42.59070672560483,-271.4294020552188,105.2625,45.4225,-59.84
marker,paper,768,1,9.007971617393196,358.1698694033548,367.177841020748,60.888586565852165,135.93880750704557,140.16519638244063,79.27660981658846,-227.0126446383074,45.345,103.8625,58.5175
color3,black,64,2,1.0639966349117458,603.2710958388634,604.3350924737751,30.468842072878033,58.109865873120725,59.452255081851035,28.983413008973002,-544.8828373919241,103.88,72.5425,-31.3375
color3,paper,64,2,1.2004961026832461,604.730591236148,605.9310873388313,74.17060219449922,152.49381290050223,155.31157510122284,81.14097290672362,-450.61951223760843,72.69062500000001,103.70875000000001,31.018124999999998
color3,black,256,2,4.862984700594097,612.1915676048957,617.0545523054898,47.39336826605722,74.79399116709828,82.26642303634435,34.873054770287126,-534.7881292691454,104.00999999999999,45.5275,-58.4825
color3,paper,256,2,5.721481924410909,611.3490703282878,617.0705522526987,83.4954846650362,130.92042069183663,138.80078517831862,55.30530051328242,-478.26976707438007,45.493750000000006,103.69624999999999,58.2025
color3,black,768,2,33.85489311767742,613.1320646381937,646.9869577558711,74.62420407682657,102.33269509626552,105.28685234021395,30.662648263387382,-541.7001054156572,104.14500000000001,45.333749999999995,-58.81125
color3,paper,768,2,42.862864676862955,615.8485561027192,658.7114207795821,122.01749306404963,170.16879125731066,184.96799271088094,62.950499646831304,-473.7434280687012,45.292500000000004,103.82,58.5275
native-live,black,64,2,0.8869971497915685,605.0335902255028,605.9205873752944,31.993688200600445,58.20924823638052,60.75446790782735,28.760779707226902,-545.1661194674671,104.33,72.90875,-31.421249999999993
native-live,paper,64,4,1.0739966528490186,604.9395904992707,605.919087480288,152.664692257531,277.0382058224641,282.3239944409579,129.41618106560782,-325.57808671845123,75.64,103.39875,27.75875
native-live,black,256,2,4.776484915055335,613.8880623038858,618.6645472189412,47.44972946355119,73.02826544037089,82.67080708174035,35.221077618189156,-535.9937401372008,104.19187500000001,45.7375,-58.454375
native-live,paper,256,4,5.717981897760183,613.2590642664582,618.9440463203937,241.91779451211914,383.71029013069347,386.17523887660354,140.33824781654403,-360.5053421924822,52.775625000000005,103.9025,50.036874999999995
native-live,black,768,2,33.129395451396704,615.6050567515194,648.7344522029161,73.9598092623055,106.83315194910392,117.09119012812153,43.13138086581603,-531.6432620747946,101.760625,45.05625,-56.704375000000006
native-live,paper,768,4,42.89186460664496,946.9505109009333,989.8423755075783,350.4332784214057,475.1056885579601,484.8197925603017,133.70250642765313,-505.7065906585194,52.16375,102.77125000000001,50.503750000000004
native-live,red,64,2,0.8799972711130977,602.8850969159976,603.7650941871107,34.2847021529451,73.31486599287018,531.2090439256281,496.92434177268296,-72.5560502614826,102.56625,77.98,-24.58625
native-live,red,256,2,4.8904845607467,612.1305677806959,617.0210523414426,41.60085029434413,83.42873118817806,538.0912100663409,496.49035977199674,-78.92984227510169,103.799375,59.44125,-44.358125
native-live,red,768,2,38.0208800197579,606.2105864402838,644.2314664600417,76.66376541601494,111.67137027950957,575.3946479526348,498.7308825366199,-68.83681850740686,104.55375000000001,58.86625,-45.6875
