sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,882013.129798708,86461.50719756,86461.507198185,882013.357372541,0.22757320795790292,-795551.736387752
1,882013.358900958,86461.514813741,86461.514813991,882013.36552025,0.006619042076636106,-795551.847396738
2,882013.366887875,86461.522030801,86461.522031051,882013.370847,0.003958875022362918,-795551.8468365115
3,882013.372158166,86461.529557358,86461.529557733,882013.378904833,0.00674629196873866,-795551.8459739541
4,882013.380237416,86461.536041174,86461.536041424,882013.384799,0.004561333975289017,-795551.846476909
5,882013.386229333,86461.542379617,86461.542379992,882013.391211958,0.004982250029570423,-795551.846340841
6,882013.392544875,86461.548041441,86461.548041816,882013.3974265,0.004881249944446608,-795551.846944059
7,882013.398581041,86461.555040503,86461.555040753,882013.405001666,0.006420375022571534,-795551.8467507255
8,882013.407836875,86461.565021287,86461.565021537,882013.414407,0.0065698749967850745,-795551.8461005255
9,882013.416620916,86461.573457961,86461.573458211,882013.42345875,0.006837584020104259,-795551.846581747
10,882013.4248525,86461.589204069,86461.589204319,882013.4403905,0.015537750034127384,-795551.843417306
11,882013.441848333,86461.814292037,86461.814292412,882013.666012416,0.2241637080151122,-795551.73963815
12,882013.667442208,86461.824711318,86461.824711568,882013.67436475,0.006922291999217123,-795551.846192036
13,882013.675694833,86461.832705246,86461.832705621,882013.682457625,0.0067624170042108744,-795551.8463707955
14,882013.68374125,86461.841357293,86461.841357668,882013.691999416,0.008257791021605954,-795551.8465128525
15,882013.693740875,86461.851299203,86461.851299453,882013.70146675,0.007725625007878989,-795551.8463044845
16,882013.7027845,86461.859021383,86461.859021633,882013.707972583,0.005187833041418344,-795551.8463570335
17,882013.709318333,86461.865036329,86461.865036704,882013.714509875,0.005191167103475891,-795551.8468775875
18,882013.715867833,86461.874180246,86461.874180496,882013.724530583,0.008662500011269003,-795551.8460188371
19,882013.725828958,86461.882723919,86461.882724294,882013.732706041,0.006876707979245111,-795551.846543393
20,882013.734146375,86461.890032353,86461.890032728,882013.739998916,0.005852166068507358,-795551.847040105
21,882013.741345,86461.898021531,86461.898022031,882013.747491,0.006145499995909631,-795551.846396219
22,882013.748928208,86461.905010968,86461.905011218,882013.75497425,0.006045791960787028,-795551.846940136
23,882013.75633325,86461.913741764,86461.913742014,882013.763720375,0.007386875047814101,-795551.8462849235
24,882013.765320625,86461.921420445,86461.92142082,882013.773870583,0.008549582998966798,-795551.8481749715
25,882013.775521625,86461.933932832,86461.933933332,882013.786160958,0.010638833060511388,-795551.8469082095
26,882013.787513666,86461.94470511,86461.94470536,882013.794529666,0.007015749986749142,-795551.846316431
27,882013.795883791,86461.952699912,86461.952700287,882013.802335375,0.006451208930229768,-795551.8464094836
28,882013.803666166,86461.960819089,86461.960819339,882013.812156041,0.008489625004585832,-795551.8470918895
29,882013.813697416,86461.97070625,86461.970706625,882013.820557625,0.0068598340440075845,-795551.846421083
30,882013.821923916,86461.978397305,86461.97839768,882013.828557,0.00663270904624369,-795551.8468429656
31,882013.829909125,86461.987581972,86461.987582222,882013.837408125,0.0074987500556744635,-795551.8460765281
32,882013.838740916,86461.996249644,86461.996250019,882013.846643541,0.00790225001401268,-795551.846442397
33,882013.848112666,86462.007721416,86462.007721916,882013.858363,0.010249833925627172,-795551.8455161671
34,882013.859753708,86462.017696451,86462.017696826,882013.871076416,0.011322332982672378,-795551.8477184235
35,882013.872456416,86462.02937997,86462.02938022,882013.879650458,0.00719379197107628,-795551.8466733419
36,882013.881288625,86462.037525522,86462.037526022,882013.888090333,0.0068012080155313015,-795551.847163707
37,882013.891058375,86462.047732929,86462.047733179,882013.897571833,0.006513207976240665,-795551.84658205
38,882013.899222208,86462.055725357,86462.055725732,882013.905497583,0.006275000021560118,-795551.846634351
