sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
0,881910.17873675,86358.594595103,86358.594595728,881910.446649875,0.26791249998495914,-795551.718097897
1,881910.448709416,86358.607148837,86358.607149087,881910.457831875,0.009122208997723646,-795551.8461216835
2,881910.459385041,86358.616360234,86358.616360484,881910.466817208,0.007431916950736195,-795551.8467407655
3,881910.468144458,86358.62422427,86358.624224645,881910.473898916,0.0057540830166544765,-795551.8467972295
4,881910.475564,86358.631578313,86358.631578563,881910.481853166,0.006288916047196835,-795551.847130145
5,881910.483186166,86358.639726721,86358.639726971,881910.492175125,0.008988709014374763,-795551.8479537995
6,881910.493570458,86358.649612985,86358.649613235,881910.499596958,0.0060262500192038715,-795551.846970598
7,881910.500971666,86358.657920267,86358.657920517,881910.50729825,0.006326334027107805,-795551.8462145659
8,881910.50870925,86358.664938188,86358.664938563,881910.514671041,0.005961416027275845,-795551.84675177
9,881910.516753583,86358.672226856,86358.672227106,881910.521507625,0.004753792018163949,-795551.846903623
10,881910.523122708,86358.679245777,86358.679246027,881910.528747583,0.005624625089694746,-795551.8466892436
11,881910.5308245,86358.688251051,86358.688251301,881910.53771225,0.006887499999720603,-795551.846017199
12,881910.53903275,86358.695237722,86358.695238097,881910.544645541,0.005612416047370061,-795551.8466012359
13,881910.546579291,86358.702286643,86358.702286893,881910.55155675,0.0049772089696489275,-795551.8467812524
14,881910.552880208,86358.708943568,86358.708943818,881910.564095541,0.011215083010029048,-795551.8495441815
15,881910.565443583,86358.723438905,86358.723439155,881910.573369708,0.007925875077489763,-795551.8459676155
16,881910.574682666,86358.730914446,86358.730914821,881910.580242958,0.005559917044593021,-795551.8465481785
17,881910.58156625,86358.737900743,86358.737901118,881910.587917375,0.006350750074489042,-795551.846840882
18,881910.589242291,86358.745804654,86358.745805029,881910.595324875,0.0060822089144494385,-795551.8464787416
19,881910.596718666,86358.752243957,86358.752244332,881910.601240583,0.004521541966823861,-795551.84673548
20,881910.602663208,86358.758224889,86358.758225139,881910.607192208,0.004528749908786267,-795551.846702694
21,881910.608315333,86358.763231833,86358.763232208,881910.612108541,0.0037928329256828874,-795551.8469799166
22,881910.613670875,86358.76887227,86358.76887277,881910.618145208,0.0044738330179825425,-795551.8470355214
23,881910.619467041,86358.775894691,86358.775894941,881910.625223666,0.005756374972406775,-795551.8464505374
24,881910.626596166,86358.782579366,86358.782579616,881910.631737541,0.005141125002410263,-795551.8465873625
25,881910.63305625,86358.789902658,86358.789903033,881910.639670208,0.006613582925638184,-795551.8464603836
26,881910.640987416,86358.797257076,86358.797257326,881910.646954708,0.005967042001429945,-795551.846713861
27,881910.648291083,86358.803879251,86358.803879501,881910.654602458,0.006311124947387725,-795551.8475673945
28,881910.656474125,86358.813343895,86358.81334427,881910.664861291,0.008386790956137702,-795551.8473236255
29,881910.666222833,86358.822928037,86358.822928412,881910.672865541,0.006642332969931886,-795551.8466159625
30,881910.674345791,86358.830918072,86358.830918322,881910.680952541,0.006606499955523759,-795551.8467309689
31,881910.682331291,86359.20882845,86359.208828825,881911.062641,0.38030933401023503,-795551.6636575081
32,881911.063837041,86359.220970314,86359.220970689,881911.071738666,0.007901250006398186,-795551.8468173521
33,881911.073103875,86359.231340697,86359.231341197,881911.080819,0.007714624996879138,-795551.8456204905
34,881911.08217525,86359.23823587,86359.23823637,881911.088386583,0.006210832973010838,-795551.8470447965
35,881911.089735291,86359.245225166,86359.245225416,881911.095525625,0.00579008407657966,-795551.8474051671
36,881911.097037791,86359.256245542,86359.256245792,881911.105864625,0.008826583914924413,-795551.845205541
37,881911.107238791,86359.2622541,86359.26225435,881911.111663291,0.0044242500443942845,-795551.847196816
38,881911.11328225,86359.269917639,86359.269918139,881911.120406791,0.00712404097430408,-795551.8469266315
39,881911.121851666,86359.277944424,86359.277944674,881911.127636166,0.005784250039141625,-795551.8467993671
40,881911.12877775,86359.284230478,86359.284230853,881911.133655958,0.004877833052887581,-795551.8469861886
41,881911.135085458,86359.29292763,86359.292928005,881911.143096541,0.008010707999346778,-795551.846163182
42,881911.144446916,86359.300248923,86359.300249423,881911.15117775,0.006730334018357098,-795551.8475631599
43,881911.152530041,86359.308247708,86359.308248208,881911.157938708,0.005408166907727718,-795551.8469864165
44,881911.159289166,86359.315233629,86359.315233879,881911.164848916,0.005559500015806407,-795551.846835287
45,881911.166163416,86359.322928418,86359.322928668,881911.174649,0.008485334052238613,-795551.8474776649
46,881911.175997958,86359.33391392,86359.333914295,881911.183946833,0.007948499958729371,-795551.8460582881
47,881911.185311791,86359.341230212,86359.341230712,881911.190934625,0.005622333963401616,-795551.8468927459
48,881911.192361,86359.348225134,86359.348225384,881911.197838166,0.005476916034240276,-795551.846874324
49,881911.199248416,86359.357958024,86359.357958274,881911.299934958,0.10068629198940471,-795551.8916335381
50,881911.3014655,86359.517751853,86359.517752353,881911.370383833,0.06891783291939646,-795551.8181725636
51,881911.371838541,86359.528923353,86359.528923603,881911.378608583,0.006769792016712017,-795551.846300084
52,881911.379815,86359.536915888,86359.536916138,881911.388099833,0.008284583062049933,-795551.8470414035
53,881911.389988791,86359.545366168,86359.545366668,881911.395127375,0.0051380840595811605,-795551.847191665
54,881911.396451541,86359.552238216,86359.552238466,881911.401594666,0.005142874957527965,-795551.8467847625
55,881911.403145708,86359.559926254,86359.559926629,881911.40939375,0.006247666999115609,-795551.8463432875
56,881911.410804333,86359.566915426,86359.566915801,881911.416668375,0.005863666970981285,-795551.8468207405
57,881911.421860458,86359.57857092,86359.578571295,881911.427729583,0.005868750013178214,-795551.8462239129
58,881911.42914625,86359.586232834,86359.586233084,881911.4368005,0.00765400001546368,-795551.846740416
59,881911.438145166,86359.595234358,86359.595234608,881911.444934875,0.006789458973798901,-795551.8463055375
60,881911.446263041,86359.602252654,86359.602253029,881911.451763583,0.005500166997080669,-795551.8467604704
61,881911.453024083,86359.609240575,86359.609240825,881911.459507791,0.00648345792433247,-795551.847025237
62,881911.460663125,86359.617446483,86359.617446858,881911.467766416,0.00710291598807089,-795551.8467681
63,881911.469018208,86359.632984058,86359.632984308,881911.483004583,0.013986125064548105,-795551.8430272124
64,881911.484507666,86359.642937822,86359.642938072,881911.494005666,0.009497750041191466,-795551.846318719
65,881911.495391708,86359.657950653,86359.657951028,881911.508144875,0.012752792070386931,-795551.843817451
66,881911.509535083,86359.666281309,86359.666281684,881911.519257333,0.009721875045215711,-795551.8481147115
67,881911.520605458,86359.676932315,86359.676932689,881911.526611125,0.006005293020280078,-795551.8466757894
68,881911.527935541,86359.686572456,86359.686572831,881911.536818,0.008882084031938575,-795551.8458041269
69,881911.538154333,86359.69423787,86359.69423837,881911.543686125,0.005531291957595386,-795551.8466821089
70,881911.545012291,86359.701925534,86359.701925784,881911.55165225,0.006639708939474076,-795551.8464066115
71,881911.552850541,86359.708916455,86359.70891708,881911.558634916,0.005783750006230548,-795551.846825961
72,881911.5599905,86359.716971365,86359.71697174,881911.566897041,0.006906166061526164,-795551.8464722179
73,881911.568197208,86359.723895412,86359.723895912,881911.573591666,0.005393957952037454,-795551.846998775
74,881911.574913708,86359.730579212,86359.730579587,881911.579590291,0.004676207987358794,-795551.8466726
75,881911.580897041,86359.737232137,86359.737232512,881911.587553083,0.006655666962615214,-795551.8469927375
