...panel tft: C0F
...panel fpl: AAB0BV
Loading waveforms from: /usr/share/remarkable/GAL3_AAB0BV_ID3511_AC118TC1F2_AD1004-LHA_TC.eink
pmic: setting rails to 6.0, 12.0, 24.0, -6.0, -12.0, -24.0
pmic: setting PDD duration to 30000ms
temperature_hwmon: found temperature path: /sys/class/hwmon/hwmon9/temp1_input
update,direction,size,repetition,before_submit_us,after_submit_us,after_drain_us,accepted,drained
marker-black,marker,768x768,0,86375995510,86376017452,86376373471,1,1
marker-paper,marker,768x768,0,86376879799,86376888755,86377244288,1,1
mono-fast-black,darken,64x64,0,86377744540,86377745001,86378091373,1,1
mono-fast-paper,lighten,64x64,0,86378591608,86378592131,86378938844,1,1
mono-fast-black,darken,64x64,1,86379439117,86379439913,86379786108,1,1
mono-fast-paper,lighten,64x64,1,86380286341,86380286735,86380633297,1,1
mono-fast-black,darken,256x256,0,86381134161,86381136280,86381480704,1,1
mono-fast-paper,lighten,256x256,0,86381981553,86381983602,86382327994,1,1
mono-fast-black,darken,256x256,1,86382828911,86382831135,86383175294,1,1
mono-fast-paper,lighten,256x256,1,86383676219,86383678283,86384022461,1,1
mono-fast-black,darken,768x768,0,86384529026,86384544906,86384893396,1,1
mono-fast-paper,lighten,768x768,0,86385399630,86385415584,86385764416,1,1
mono-fast-black,darken,768x768,1,86386270704,86386287136,86386635060,1,1
mono-fast-paper,lighten,768x768,1,86387141371,86387157392,86387505904,1,1
mono-quality-black,darken,64x64,0,86388006149,86388007045,86388612040,1,1
mono-quality-paper,lighten,64x64,0,86389112305,86389113324,86389718176,1,1
mono-quality-black,darken,64x64,1,86390218432,86390219308,86390824367,1,1
mono-quality-paper,lighten,64x64,1,86391324622,86391325613,86391930488,1,1
mono-quality-black,darken,256x256,0,86392431353,86392436084,86393052127,1,1
mono-quality-paper,lighten,256x256,0,86393553048,86393558573,86394825404,1,1
mono-quality-black,darken,256x256,1,86395326396,86395331974,86395943458,1,1
mono-quality-paper,lighten,256x256,1,86396444564,86396450255,86397720425,1,1
mono-quality-black,darken,768x768,0,86398226704,86398259998,86398873823,1,1
mono-quality-paper,lighten,768x768,0,86399380156,86399424217,86400697749,1,1
mono-quality-black,darken,768x768,1,86401204087,86401236904,86401851150,1,1
mono-quality-paper,lighten,768x768,1,86402357437,86402405264,86403675146,1,1
color-black,darken,64x64,0,86404175428,86404191268,86405475504,1,1
color-paper,lighten,64x64,0,86405975760,86405976892,86407240513,1,1
color-black,darken,64x64,1,86407740780,86407741525,86409005867,1,1
color-paper,lighten,64x64,1,86409506151,86409507092,86410771050,1,1
color-black,darken,256x256,0,86411271938,86411276289,86412548060,1,1
color-paper,lighten,256x256,0,86413048947,86413054276,86414325003,1,1
color-black,darken,256x256,1,86414825907,86414830351,86416101957,1,1
color-paper,lighten,256x256,1,86416602852,86416608231,86417878868,1,1
color-black,darken,768x768,0,86418385161,86418418439,86419691143,1,1
color-paper,lighten,768x768,0,86420197403,86420239249,86421515287,1,1
color-black,darken,768x768,1,86422021575,86422054856,86423327540,1,1
color-paper,lighten,768x768,1,86423833808,86423874566,86425139737,1,1
color-red,darken,64x64,0,86425639982,86425640744,86426904712,1,1
color-paper,lighten,64x64,0,86427404977,86427405769,86428670064,1,1
color-red,darken,64x64,1,86429170353,86429171216,86430435211,1,1
color-paper,lighten,64x64,1,86430935504,86430936390,86432200408,1,1
color-red,darken,256x256,0,86432701302,86432705789,86433977421,1,1
color-paper,lighten,256x256,0,86434478297,86434496843,86435780169,1,1
color-red,darken,256x256,1,86436281167,86436285640,86437554829,1,1
color-paper,lighten,256x256,1,86438055878,86438061300,86439331692,1,1
color-red,darken,768x768,0,86439837951,86439872108,86441144267,1,1
color-paper,lighten,768x768,0,86441650575,86441692791,86442968340,1,1
color-red,darken,768x768,1,86443474629,86443509107,86444780427,1,1
color-paper,lighten,768x768,1,86445286697,86445328817,86446604430,1,1
shutdown: waiting for updates to complete...
shutdown: waiting for display to finish...
shutdown: threads stopped
shutdown: shutting down...
takeover: app exited (0), restoring xochitl
