family,target,size,sample_count,median_software_submit_ms,median_queue_wait_ms,median_queue_total_ms,median_visible_onset_ms,median_first_90_ms,median_settled_ms,median_visible_motion_ms,median_settled_minus_drain_ms,median_baseline_luma,median_final_luma,median_luma_amplitude
marker,black,768,1,21.941919345408678,356.0176914324984,377.9596107779071,68.60438466537744,105.3172437241301,115.15899316873401,46.554608503356576,-262.80061760917306,115.2625,50.2875,-64.975
marker,paper,768,1,8.955967030487955,355.53169331979007,364.487660350278,66.92630145698786,135.72230015415698,147.87324354983866,80.9469420928508,-216.61441680043936,50.4775,113.62125,63.143750000000004
mono-fast,black,64,2,0.6284976843744516,346.282227197662,346.91072488203645,37.11964521789923,68.5437066713348,76.31670293631032,39.19705771841109,-270.5940219457261,113.44312500000001,79.82499999999999,-33.618125000000006
mono-fast,paper,64,2,0.45849825255572796,346.6362259350717,347.09472418762743,42.0969752012752,139.64857411338016,146.17381669813767,104.07684149686247,-200.92090748948976,79.76750000000001,113.56125,33.793749999999996
mono-fast,black,256,2,2.1714919130317867,344.290234555956,346.46172646898776,33.08042063144967,71.57263957196847,79.10499547142535,46.024574839975685,-267.3567309975624,113.97749999999999,51.33125,-62.646249999999995
mono-fast,paper,256,2,2.056492492556572,344.28373456466943,346.340227057226,42.71681123645976,109.37577002914622,114.2747767153196,71.55796547885984,-232.0654503419064,51.4025,114.0925,62.69
mono-fast,black,768,2,16.155940538737923,348.2057201326825,364.3616606714204,52.452939678914845,88.9501923811622,94.27189326379448,41.81895358487964,-270.0897674076259,114.04875,51.0125,-63.036249999999995
mono-fast,paper,768,2,15.987441234756261,348.67071837652475,364.658159611281,59.95190725661814,121.8167056213133,131.13959331531078,71.18768605869263,-233.51856629597023,51.14875,114.02875,62.879999999999995
mono-quality,black,64,2,0.8859966183081269,605.024776305072,605.9107729233801,35.197243792936206,59.31018333649263,65.32670528395101,30.12946149101481,-540.5840676394291,114.231875,80.4325,-33.799375
mono-quality,paper,64,2,1.0049963602796197,604.8612768063322,605.8662731666118,71.40899862861261,137.77197542367503,141.65777125163004,70.24877262301743,-464.20850191498175,80.515,114.06875,33.55375
mono-quality,black,256,2,5.154481099452823,613.7612439924851,618.9157250919379,46.123567793983966,74.83691070228815,81.7268920945935,35.60332430060953,-537.1888329973444,112.83875,51.29875,-61.53999999999999
mono-quality,paper,256,2,5.607979430351406,1268.4958375175484,1274.1038169478998,349.5408338494599,487.9835559404455,495.7995085278526,146.2586746783927,-778.3043084200472,51.364374999999995,111.0275,59.663124999999994
mono-quality,black,768,2,33.05537853157148,614.0332430368289,647.0886215684004,74.88476426806301,106.06139292940497,112.19401145353913,37.309247185476124,-534.8946101148613,111.330625,50.5925,-60.738125
mono-quality,paper,768,2,45.94383109360933,1271.7023256700486,1317.646156763658,420.30719883041456,530.7570342556573,534.2805842519738,113.97338542155921,-783.3655725116841,50.71625,111.11500000000001,60.39875000000001
color,black,64,2,8.292469545267522,1274.2843161686324,1282.5767857138999,696.5434194426052,772.0204887446016,785.9584572142921,89.41503777168691,-496.61832849960774,110.515625,78.21625,-32.299375
color,paper,64,4,0.913496594876051,1263.9833540888503,1264.8968506837264,490.63056701561436,625.9350960608572,638.9777262229472,148.27915938803926,-626.0106241097674,84.820625,112.00874999999999,26.71312499999999
color,black,256,2,4.3974838918074965,1271.683825762011,1276.0813096538186,696.8319737934507,765.7466123346239,771.1326869903132,74.30071319686249,-504.9486226635054,110.955625,50.78125,-60.174375000000005
color,paper,256,4,5.4004802368581295,1270.6773294485174,1276.0313097387552,503.2668386120349,625.4279821296223,634.0886447578669,128.3098118728958,-641.8416653177701,61.68124999999999,110.39375000000001,49.125
color,black,768,2,33.27937773428857,1272.6893220678903,1305.968699802179,729.3803003849462,793.9596331561916,807.6634838362224,78.28318345127627,-498.30521596595645,111.539375,50.412499999999994,-61.12687500000001
color,paper,768,4,41.98284569429234,1275.5763114546426,1317.7441564621404,544.5990681182593,663.350012502633,669.44423771929,125.91615377459675,-643.5944241820835,61.495,112.2325,50.823750000000004
color,red,64,2,0.8124969899654388,1263.976854213979,1264.7893512039445,360.285580100026,427.71257797721773,1123.8404547912069,763.5548746911809,-140.94889641273767,112.143125,89.82875,-22.314375
color,red,256,2,4.479983588680625,1270.4058305243962,1274.8858141130768,366.31429981207475,421.4173959917389,1129.2495004017837,762.935200589709,-145.63631371129304,112.22625,71.85874999999999,-40.36750000000001
color,red,768,2,34.31737388018519,1271.7348256264813,1306.0521995066665,393.12189631164074,436.59769877558574,1163.6703363037668,770.5484399921261,-142.3818632028997,112.9975,72.115,-40.88250000000001
