# Calibration grid spanning the projected tablet screen.
name,x,y,width,height
g_400_100,397,97,7,7
g_450_100,447,97,7,7
g_500_100,497,97,7,7
g_550_100,547,97,7,7
g_600_100,597,97,7,7
g_650_100,647,97,7,7
g_700_100,697,97,7,7
g_750_100,747,97,7,7
g_800_100,797,97,7,7
g_850_100,847,97,7,7
g_900_100,897,97,7,7
g_950_100,947,97,7,7
g_1000_100,997,97,7,7
g_1050_100,1047,97,7,7
g_1100_100,1097,97,7,7
g_1150_100,1147,97,7,7
g_1200_100,1197,97,7,7
g_1250_100,1247,97,7,7
g_1300_100,1297,97,7,7
g_1350_100,1347,97,7,7
g_1400_100,1397,97,7,7
g_1450_100,1447,97,7,7
g_1500_100,1497,97,7,7
g_1550_100,1547,97,7,7
g_1600_100,1597,97,7,7
g_1650_100,1647,97,7,7
g_1700_100,1697,97,7,7
g_1750_100,1747,97,7,7
g_1800_100,1797,97,7,7
g_1850_100,1847,97,7,7
g_400_150,397,147,7,7
g_450_150,447,147,7,7
g_500_150,497,147,7,7
g_550_150,547,147,7,7
g_600_150,597,147,7,7
g_650_150,647,147,7,7
g_700_150,697,147,7,7
g_750_150,747,147,7,7
g_800_150,797,147,7,7
g_850_150,847,147,7,7
g_900_150,897,147,7,7
g_950_150,947,147,7,7
g_1000_150,997,147,7,7
g_1050_150,1047,147,7,7
g_1100_150,1097,147,7,7
g_1150_150,1147,147,7,7
g_1200_150,1197,147,7,7
g_1250_150,1247,147,7,7
g_1300_150,1297,147,7,7
g_1350_150,1347,147,7,7
g_1400_150,1397,147,7,7
g_1450_150,1447,147,7,7
g_1500_150,1497,147,7,7
g_1550_150,1547,147,7,7
g_1600_150,1597,147,7,7
g_1650_150,1647,147,7,7
g_1700_150,1697,147,7,7
g_1750_150,1747,147,7,7
g_1800_150,1797,147,7,7
g_1850_150,1847,147,7,7
g_400_200,397,197,7,7
g_450_200,447,197,7,7
g_500_200,497,197,7,7
g_550_200,547,197,7,7
g_600_200,597,197,7,7
g_650_200,647,197,7,7
g_700_200,697,197,7,7
g_750_200,747,197,7,7
g_800_200,797,197,7,7
g_850_200,847,197,7,7
g_900_200,897,197,7,7
g_950_200,947,197,7,7
g_1000_200,997,197,7,7
g_1050_200,1047,197,7,7
g_1100_200,1097,197,7,7
g_1150_200,1147,197,7,7
g_1200_200,1197,197,7,7
g_1250_200,1247,197,7,7
g_1300_200,1297,197,7,7
g_1350_200,1347,197,7,7
g_1400_200,1397,197,7,7
g_1450_200,1447,197,7,7
g_1500_200,1497,197,7,7
g_1550_200,1547,197,7,7
g_1600_200,1597,197,7,7
g_1650_200,1647,197,7,7
g_1700_200,1697,197,7,7
g_1750_200,1747,197,7,7
g_1800_200,1797,197,7,7
g_1850_200,1847,197,7,7
g_400_250,397,247,7,7
g_450_250,447,247,7,7
g_500_250,497,247,7,7
g_550_250,547,247,7,7
g_600_250,597,247,7,7
g_650_250,647,247,7,7
g_700_250,697,247,7,7
g_750_250,747,247,7,7
g_800_250,797,247,7,7
g_850_250,847,247,7,7
g_900_250,897,247,7,7
g_950_250,947,247,7,7
g_1000_250,997,247,7,7
g_1050_250,1047,247,7,7
g_1100_250,1097,247,7,7
g_1150_250,1147,247,7,7
g_1200_250,1197,247,7,7
g_1250_250,1247,247,7,7
g_1300_250,1297,247,7,7
g_1350_250,1347,247,7,7
g_1400_250,1397,247,7,7
g_1450_250,1447,247,7,7
g_1500_250,1497,247,7,7
g_1550_250,1547,247,7,7
g_1600_250,1597,247,7,7
g_1650_250,1647,247,7,7
g_1700_250,1697,247,7,7
g_1750_250,1747,247,7,7
g_1800_250,1797,247,7,7
g_1850_250,1847,247,7,7
g_400_300,397,297,7,7
g_450_300,447,297,7,7
g_500_300,497,297,7,7
g_550_300,547,297,7,7
g_600_300,597,297,7,7
g_650_300,647,297,7,7
g_700_300,697,297,7,7
g_750_300,747,297,7,7
g_800_300,797,297,7,7
g_850_300,847,297,7,7
g_900_300,897,297,7,7
g_950_300,947,297,7,7
g_1000_300,997,297,7,7
g_1050_300,1047,297,7,7
g_1100_300,1097,297,7,7
g_1150_300,1147,297,7,7
g_1200_300,1197,297,7,7
g_1250_300,1247,297,7,7
